"koutb","koutn","k1b","k1n","k12b","k21b","k13b","k31b","k12n","k21n","A1","B1","n","A2","B2","n2"
0.002378318,0.004625182,0.000130515,0.00160791004778709,0.002691403,0.001100461,0.002117776,0.000152043,0.005428576,0.000648577,4.472e-05,0.0001931,0.6382,0.0001757,0.03386,0.8349
0.002106665,0.003974916,5.33e-05,0.00173308043404366,0.002118559,0.000669449,0.001748545,0.000146262,0.004593414,0.000643781,7.048e-05,0.0001941,0.5663,0.0004604,0.063,0.7627
0.001954911,0.005389164,0.00019242,0.00179787162303595,0.002328014,0.001128039,0.001537566,0.00012965,0.00837199,0.00094189,0.0001018,0.0001936,0.5,0.0001963,0.04083,0.8411
0.002069547,0.004451052,0.000170543,0.00174904936329444,0.002020324,0.000829867,0.001717371,0.000142509,0.006509322,0.000852531,7.204e-05,0.0001935,0.5576,0.0002885,0.04912,0.8055
0.001829976,0.005317158,0.000160558,0.00190850958646823,0.001882707,0.001592237,0.001483929,0.000150582,0.007743626,0.000772281,3.759e-05,0.0001946,0.6759,0.0002299,0.03266,0.7927
0.002454105,0.004183423,0.000116099,0.00159324175888742,0.003141315,0.001292017,0.001877029,0.000132409,0.006165287,0.000806127,5.24e-05,0.0001935,0.6114,0.0001831,0.04027,0.8512
0.001942026,0.004120472,0.000132717,0.0018658774836313,0.001965349,0.000896305,0.001484221,0.000147767,0.005568497,0.000765022,9.946e-05,0.0001932,0.5,0.0003678,0.0363,0.7383
0.002064796,0.005077714,0.000181375,0.00179013480206386,0.002604247,0.001195627,0.001542938,0.000135908,0.006966534,0.000756536,7.446e-05,0.0001918,0.5548,0.0001359,0.04944,0.9194
0.001993401,0.003870614,0.000129464,0.00179529411226865,0.002075183,0.000892397,0.001687545,0.00015627,0.005893393,0.000840503,6.082e-05,0.0001928,0.5853,0.0001715,0.0556,0.8888
0.002201298,0.004360004,0.000178694,0.00173218266150215,0.001422309,0.000536032,0.001728083,0.000139114,0.007139495,0.000892169,9.636e-05,0.0001941,0.5081,0.0001458,0.04215,0.8743
0.001851363,0.004902716,0.000119238,0.00182322960837713,0.002030533,0.001343803,0.001506579,0.000140434,0.007373174,0.000921363,5.921e-05,0.0001954,0.5885,0.0001404,0.03353,0.8541
0.002230805,0.004101755,0.00010822,0.00169443229681051,0.001923305,0.001097366,0.001529935,0.000121597,0.006036622,0.00081931,6.242e-05,0.0001937,0.5862,0.0002729,0.06577,0.8301
0.002220261,0.005470601,0.000138473,0.00166498701429028,0.002853305,0.001328757,0.002367133,0.000203676,0.007698306,0.000836863,6.305e-05,0.0001934,0.5732,0.0002767,0.05736,0.8237
0.002441691,0.004964043,0.000166725,0.00162281208381098,0.002503589,0.001072617,0.001782609,0.000135388,0.006366137,0.000870698,9.075e-05,0.0001941,0.5178,8.764e-05,0.03361,0.9416
0.002316593,0.003919603,0.000134703,0.00162709960037774,0.00238502,0.000986391,0.001982077,0.000141327,0.005962919,0.000916755,4.031e-05,0.0001936,0.657,0.0002635,0.04235,0.7871
0.002035785,0.005338664,7.67e-05,0.00181791242905788,0.002038803,0.00099452,0.001565702,0.000134744,0.008980548,0.001002702,2.763e-05,0.0001919,0.7255,0.0001964,0.04742,0.8525
0.002071127,0.003796061,0.000134584,0.00175676719267866,0.002153968,0.001122688,0.001923479,0.000175661,0.005848856,0.000808879,9.821e-05,0.0001935,0.5,0.0001837,0.02795,0.8196
0.001862223,0.004909925,0.000203789,0.00181269857521124,0.002120549,0.00076126,0.001838041,0.000140832,0.005860852,0.000715506,9.8e-05,0.0001927,0.5,0.0001558,0.0337,0.8565
0.001690316,0.004667199,0.000159006,0.00198812353259975,0.00199171,0.001062775,0.001622872,0.000166309,0.007005284,0.00095853,4.666e-05,0.0001936,0.6365,0.0001096,0.02696,0.8961
0.002001964,0.00556821,0.000217099,0.00173577682342991,0.001881994,0.001308191,0.001784918,0.000149989,0.006830318,0.000726033,3.37e-05,0.0001922,0.6922,0.0001629,0.03977,0.8551
0.002432621,0.004329702,0.000177744,0.00159508266136172,0.002463693,0.001332114,0.00187932,0.000122549,0.007157283,0.000888505,6.224e-05,0.0001938,0.5865,0.0001011,0.03256,0.9079
0.001946087,0.003644782,0.000108602,0.00189187230108962,0.001936108,0.001477208,0.00159002,0.000164039,0.005761782,0.000920799,4.636e-05,0.0001922,0.6369,7.737e-05,0.02866,0.9456
0.001821471,0.00419511,0.000165905,0.00182443603423943,0.001757849,0.000629011,0.001593024,0.000142879,0.005591354,0.000728736,8.2e-05,0.0001926,0.5356,0.0001334,0.03449,0.8643
0.001800053,0.005081808,0.000120561,0.00195911490831132,0.001957707,0.000797574,0.001258952,0.00012805,0.006803604,0.000680729,4.612e-05,0.0001924,0.6274,8.26e-05,0.02771,0.9218
0.002279003,0.005048294,0.000180483,0.00161298666929248,0.002532569,0.000969943,0.001927834,0.000141723,0.005137805,0.000614234,5.462e-05,0.0001941,0.6019,0.0002893,0.07508,0.8405
0.002352415,0.003882119,0.000200879,0.00167423244826156,0.002040092,0.001005645,0.002037614,0.000161579,0.005020568,0.000617784,4.209e-05,0.0001944,0.6544,0.0001685,0.03683,0.8702
0.001857461,0.005185751,0.000109737,0.00193287038550443,0.001744028,0.001422968,0.001641601,0.000162441,0.005729337,0.000550472,4.801e-05,0.0001941,0.6324,0.0001642,0.05181,0.8857
0.001996601,0.004326642,0.000147942,0.00176879671942954,0.002029154,0.000833299,0.001609875,0.00014811,0.006372496,0.000807557,8.855e-05,0.0001934,0.5172,0.0001885,0.04567,0.8533
0.002424596,0.003981963,8.98e-05,0.0015860914048265,0.002364008,0.000950542,0.00207773,0.000167183,0.005988472,0.000799505,7.03e-05,0.0001951,0.5629,0.0001278,0.04198,0.8998
0.002558066,0.005762847,0.000151437,0.00154196677794815,0.002605576,0.000902872,0.002013032,0.000150496,0.007314219,0.000723685,8.462e-05,0.0001941,0.5349,0.0001836,0.02999,0.8303
0.00197514,0.004499011,0.000166607,0.00179656872877164,0.002908036,0.001304365,0.001446738,0.000127953,0.007396508,0.000886985,4.782e-05,0.0001928,0.6262,0.0001712,0.03902,0.8623
0.002076233,0.005051251,8.4e-05,0.00183564849110398,0.002606339,0.00101292,0.001447258,0.000143273,0.006730286,0.000691564,5.156e-05,0.0001942,0.6101,0.0001364,0.04355,0.8994
0.001958258,0.005055365,0.000128763,0.00182385061632536,0.001864148,0.001089628,0.00166138,0.000155753,0.006858866,0.000686041,5.33e-05,0.0001946,0.6095,0.0001843,0.03235,0.8162
0.002120923,0.00488597,0.000166049,0.00170681289656814,0.002405201,0.001863286,0.001856294,0.000154707,0.007741941,0.00085116,9.697e-05,0.0001931,0.5,0.0001925,0.0411,0.8373
0.001841014,0.004462477,0.000134944,0.0019174306034718,0.002250983,0.001676926,0.001283117,0.000120426,0.006627622,0.000796384,9.88e-05,0.0001929,0.5,0.0003408,0.04608,0.7734
