F1,kin,kout,ktr,kout2,k1,k2,k12,k21,A1,B1,n,A2,B2,n2,V1
0.6349,0.0001775,0.00076411,0.004741,89.26,0.000734452,0.001774,0.002871271,0.000377429,3.35E-06,0.0002684,1.16,0.00008172,0.02214,0.8499,3224
0.6349,0.0001775,0.001074792,0.004741,89.26,0.000540703,0.001774,0.002329789,0.000303982,2.26E-06,0.0002534,1.246,0.00005489,0.02201,0.9047,3224
0.6349,0.0001775,0.000801249,0.004741,89.26,0.00064573,0.001774,0.002594898,0.000372563,2.81E-06,0.0002535,1.211,0.0001028,0.02324,0.8191,3224
0.6349,0.0001775,0.00080381,0.004741,89.26,0.000733145,0.001774,0.003051371,0.000411978,3.37E-06,0.0002673,1.16,0.00008789,0.02324,0.8423,3224
0.6349,0.0001775,0.000781985,0.004741,89.26,0.000660222,0.001774,0.002741234,0.000448354,1.03E-06,0.0001971,1.402,0.00009218,0.0234,0.8308,3224
0.6349,0.0001775,0.000821011,0.004741,89.26,0.000759711,0.001774,0.002885834,0.000415804,5.50E-06,0.0003164,1.075,0.00006933,0.02208,0.8737,3224
0.6349,0.0001775,0.000911987,0.004741,89.26,0.000747089,0.001774,0.003918741,0.000458214,1.00E-06,0.0001879,1.42,0.0001311,0.0244,0.788,3224
0.6349,0.0001775,0.000856883,0.004741,89.26,0.000665822,0.001774,0.002144983,0.000275939,6.02E-06,0.0002999,1.028,0.000124,0.02347,0.7886,3224
0.6349,0.0001775,0.000994259,0.004741,89.26,0.000640254,0.001774,0.002872021,0.000332866,1.00E-06,0.0001885,1.427,0.00006831,0.02199,0.874,3224
0.6349,0.0001775,0.000669835,0.004741,89.26,0.000806964,0.001774,0.002559126,0.000346664,2.38E-05,0.000434,0.7428,0.00009572,0.02331,0.8197,3224
0.6349,0.0001775,0.00072137,0.004741,89.26,0.000702158,0.001774,0.003491845,0.000470877,2.87E-06,0.000272,1.203,0.00007479,0.02301,0.8681,3224
0.6349,0.0001775,0.000905447,0.004741,89.26,0.000621829,0.001774,0.002423284,0.000364262,1.27E-05,0.0003844,0.8745,0.00007457,0.0222,0.8599,3224
0.6349,0.0001775,0.000639352,0.004741,89.26,0.000742628,0.001774,0.003879102,0.000477904,1.38E-06,0.0002229,1.352,0.0001319,0.02374,0.7806,3224
0.6349,0.0001775,0.000833348,0.004741,89.26,0.000701929,0.001774,0.003123759,0.000378277,4.18E-06,0.0002934,1.129,0.00007235,0.0222,0.8678,3224
0.6349,0.0001775,0.000556366,0.004741,89.26,0.000589097,0.001774,0.002820106,0.000465076,1.00E-06,0.0001417,1.422,0.00007605,0.02331,0.8583,3224
0.6349,0.0001775,0.000870788,0.004741,89.26,0.000525517,0.001774,0.002901534,0.000351231,3.59E-06,0.000289,1.156,0.0001161,0.02286,0.798,3224
0.6349,0.0001775,0.000718941,0.004741,89.26,0.000721942,0.001774,0.002491059,0.000441955,1.00E-06,0.0001398,1.424,0.00005698,0.02138,0.8949,3224
0.6349,0.0001775,0.000492792,0.004741,89.26,0.000586389,0.001774,0.002667577,0.000411131,5.39E-06,0.0003115,1.079,0.00007179,0.02217,0.8633,3224
0.6349,0.0001775,0.001116725,0.004741,89.26,0.000794032,0.001774,0.003214235,0.000327371,1.26E-06,0.0002149,1.37,0.0001059,0.02284,0.809,3224
0.6349,0.0001775,0.000902445,0.004741,89.26,0.000739818,0.001774,0.003328549,0.000370321,2.01E-06,0.0002415,1.272,0.00005926,0.02193,0.8973,3224
0.6349,0.0001775,0.000805217,0.004741,89.26,0.000749261,0.001774,0.003884075,0.000408208,3.78E-06,0.0002906,1.146,0.00005168,0.02134,0.9076,3224
0.6349,0.0001775,0.00097819,0.004741,89.26,0.000702324,0.001774,0.005097622,0.000402904,1.19E-05,0.0003783,0.9007,0.00007751,0.02308,0.8565,3224
0.6349,0.0001775,0.001218063,0.004741,89.26,0.000735821,0.001774,0.004270466,0.000448938,8.17E-06,0.0003275,0.9778,0.00006554,0.0227,0.8823,3224
0.6349,0.0001775,0.000736376,0.004741,89.26,0.000606644,0.001774,0.002865693,0.000402979,5.06E-06,0.0003113,1.086,0.0000574,0.02231,0.9006,3224
0.6349,0.0001775,0.000780264,0.004741,89.26,0.000726036,0.001774,0.00327873,0.000468962,2.77E-06,0.0002625,1.189,0.00007007,0.02183,0.8648,3224
0.6349,0.0001775,0.000750898,0.004741,89.26,0.000678606,0.001774,0.002399668,0.000391222,8.21E-06,0.000358,0.9692,0.00009472,0.02295,0.8277,3224
0.6349,0.0001775,0.00096846,0.004741,89.26,0.000911726,0.001774,0.002617814,0.000379877,1.85E-06,0.0002417,1.3,0.00008065,0.02267,0.8511,3224
0.6349,0.0001775,0.000870857,0.004741,89.26,0.000618257,0.001774,0.002679801,0.000355635,1.04E-05,0.0003925,0.9374,0.0001249,0.02303,0.7861,3224
0.6349,0.0001775,0.000740521,0.004741,89.26,0.00076028,0.001774,0.002682874,0.000380743,2.37E-06,0.0002555,1.247,0.00008364,0.02218,0.8403,3224
0.6349,0.0001775,0.000799422,0.004741,89.26,0.000707605,0.001774,0.002756489,0.000471937,1.85E-06,0.0002364,1.291,0.0001647,0.02342,0.7416,3224
0.6349,0.0001775,0.000731905,0.004741,89.26,0.000735054,0.001774,0.002995531,0.000350915,2.21E-06,0.0002409,1.257,0.00009756,0.02297,0.8217,3224
0.6349,0.0001775,0.00064761,0.004741,89.26,0.000866817,0.001774,0.002933242,0.000423826,5.41E-06,0.000333,1.072,0.00005424,0.02213,0.907,3224
0.6349,0.0001775,0.000908692,0.004741,89.26,0.000542816,0.001774,0.003791822,0.000403572,3.77E-06,0.0002829,1.147,0.0001413,0.02354,0.7701,3224
0.6349,0.0001775,0.000852635,0.004741,89.26,0.000849141,0.001774,0.002379523,0.000415094,6.29E-06,0.0003449,1.041,0.00009945,0.02307,0.8191,3224
0.6349,0.0001775,0.00091206,0.004741,89.26,0.000693649,0.001774,0.003721054,0.00037558,4.83E-06,0.0002969,1.069,0.00007355,0.02293,0.866,3224
0.6349,0.0001775,0.000880055,0.004741,89.26,0.000749293,0.001774,0.002704956,0.000367491,8.38E-06,0.0003488,0.9827,0.00006051,0.02272,0.8968,3224
0.6349,0.0001775,0.000855069,0.004741,89.26,0.000610548,0.001774,0.003631681,0.000410916,1.56E-06,0.0002221,1.326,0.00009858,0.02242,0.8139,3224
0.6349,0.0001775,0.000722285,0.004741,89.26,0.00072311,0.001774,0.002896669,0.000335581,4.17E-06,0.0002946,1.12,0.00008198,0.02301,0.8531,3224
0.6349,0.0001775,0.000866846,0.004741,89.26,0.000597082,0.001774,0.003121024,0.000369089,3.82E-06,0.000278,1.134,0.00005849,0.02184,0.8937,3224
0.6349,0.0001775,0.00108882,0.004741,89.26,0.000746395,0.001774,0.002819879,0.000305123,1.08E-05,0.000326,0.9104,0.00009051,0.02264,0.8323,3224
0.6349,0.0001775,0.000806852,0.004741,89.26,0.000769447,0.001774,0.003167419,0.000372576,3.01E-06,0.0002613,1.188,0.0001344,0.02327,0.775,3224
0.6349,0.0001775,0.001004996,0.004741,89.26,0.000749581,0.001774,0.003152245,0.000384481,1.00E-06,0.0001669,1.422,0.0001041,0.0232,0.811,3224
0.6349,0.0001775,0.000814106,0.004741,89.26,0.00060986,0.001774,0.003138654,0.000346904,1.56E-05,0.0003908,0.8481,0.00003709,0.0219,0.967,3224
0.6349,0.0001775,0.000925916,0.004741,89.26,0.000745703,0.001774,0.003353388,0.00036836,8.67E-06,0.0003431,0.9675,0.0001432,0.02234,0.7569,3224
0.6349,0.0001775,0.000672571,0.004741,89.26,0.000791363,0.001774,0.002602411,0.000356125,1.41E-05,0.0003895,0.8442,0.00006236,0.02148,0.8829,3224
0.6349,0.0001775,0.00065684,0.004741,89.26,0.000741986,0.001774,0.00255957,0.000396268,6.90E-06,0.000309,1.001,0.0001216,0.02377,0.7943,3224
0.6349,0.0001775,0.000928604,0.004741,89.26,0.000690547,0.001774,0.003070024,0.000412796,2.60E-06,0.0002716,1.211,0.00007133,0.02146,0.8624,3224
0.6349,0.0001775,0.000826248,0.004741,89.26,0.000566198,0.001774,0.002700562,0.000362242,9.06E-06,0.000331,0.9638,0.0001243,0.02418,0.7884,3224
0.6349,0.0001775,0.001031209,0.004741,89.26,0.000651706,0.001774,0.004123098,0.000475401,4.49E-06,0.000319,1.102,0.00006637,0.02154,0.8715,3224
0.6349,0.0001775,0.001097377,0.004741,89.26,0.000775904,0.001774,0.003855128,0.000391899,1.19E-06,0.0002108,1.39,0.0000863,0.02192,0.8315,3224
0.6349,0.0001775,0.000594,0.004741,89.26,0.000823905,0.001774,0.002327584,0.000410255,1.00E-06,0.0001824,1.424,0.0001065,0.02253,0.8131,3224
0.6349,0.0001775,0.000602528,0.004741,89.26,0.000712038,0.001774,0.002887288,0.000441834,1.04E-06,0.0001949,1.421,0.0001007,0.02166,0.8076,3224
0.6349,0.0001775,0.000666521,0.004741,89.26,0.000814259,0.001774,0.002390391,0.000358815,3.33E-06,0.000272,1.161,0.00008163,0.02231,0.8443,3224
0.6349,0.0001775,0.001077909,0.004741,89.26,0.000710841,0.001774,0.003667302,0.000368332,5.84E-06,0.0003269,1.057,0.00006008,0.0221,0.8947,3224
0.6349,0.0001775,0.001127895,0.004741,89.26,0.000570314,0.001774,0.003283795,0.000354327,2.11E-06,0.0002375,1.272,0.00008869,0.02263,0.8352,3224
0.6349,0.0001775,0.00085981,0.004741,89.26,0.000680089,0.001774,0.002422617,0.000290042,1.53E-05,0.0003827,0.8746,0.0001039,0.02288,0.8147,3224
0.6349,0.0001775,0.000933037,0.004741,89.26,0.000777221,0.001774,0.003848367,0.000398976,9.76E-06,0.000372,0.9427,0.0001117,0.02298,0.8004,3224
0.6349,0.0001775,0.0012641,0.004741,89.26,0.000664164,0.001774,0.003866732,0.000427971,1.20E-05,0.0003596,0.9121,0.00008436,0.02342,0.8503,3224
0.6349,0.0001775,0.000784001,0.004741,89.26,0.000724831,0.001774,0.002963366,0.000376266,8.14E-06,0.0003297,0.9844,0.00006884,0.02252,0.8773,3224
0.6349,0.0001775,0.000868653,0.004741,89.26,0.000774739,0.001774,0.002446437,0.000310869,5.31E-06,0.0003085,1.071,0.0001109,0.02329,0.8011,3224
0.6349,0.0001775,0.000914545,0.004741,89.26,0.000701571,0.001774,0.003827536,0.000425941,1.24E-05,0.0004009,0.9142,0.00004559,0.02223,0.9375,3224
0.6349,0.0001775,0.000809463,0.004741,89.26,0.000773823,0.001774,0.002833519,0.000381612,2.29E-06,0.0002441,1.254,0.0001028,0.02297,0.8138,3224
0.6349,0.0001775,0.000736449,0.004741,89.26,0.000662578,0.001774,0.003566448,0.00042154,1.41E-06,0.0002211,1.36,0.0001664,0.0242,0.7503,3224
0.6349,0.0001775,0.000568678,0.004741,89.26,0.000810698,0.001774,0.002090272,0.000350835,3.38E-06,0.0002637,1.157,0.0001067,0.02286,0.81,3224
0.6349,0.0001775,0.000788661,0.004741,89.26,0.000612236,0.001774,0.002688726,0.000387601,5.94E-06,0.0002999,1.046,0.00009831,0.02249,0.8213,3224
0.6349,0.0001775,0.001416147,0.004741,89.26,0.000509635,0.001774,0.004995511,0.00041935,1.19E-05,0.0003577,0.8943,0.00007447,0.02208,0.859,3224
0.6349,0.0001775,0.000678653,0.004741,89.26,0.000768386,0.001774,0.002788788,0.00038571,2.92E-06,0.000241,1.165,0.0000714,0.02303,0.8725,3224
0.6349,0.0001775,0.001225457,0.004741,89.26,0.000845658,0.001774,0.004448093,0.000431027,1.12E-06,0.0002082,1.4,0.00009321,0.02326,0.8274,3224
0.6349,0.0001775,0.001093056,0.004741,89.26,0.000785215,0.001774,0.004214665,0.000365402,1.17E-05,0.0003416,0.8869,0.000102,0.02363,0.8181,3224
0.6349,0.0001775,0.000748751,0.004741,89.26,0.000720884,0.001774,0.003360768,0.000459605,1.42E-05,0.0004095,0.8898,0.00008057,0.02315,0.8551,3224
0.6349,0.0001775,0.000916409,0.004741,89.26,0.000659196,0.001774,0.002810906,0.000430108,1.00E-06,0.0001647,1.424,0.00007454,0.02251,0.8662,3224
0.6349,0.0001775,0.000788722,0.004741,89.26,0.000750566,0.001774,0.003955164,0.000500159,1.34E-05,0.0003872,0.8906,0.00007156,0.02192,0.8672,3224
0.6349,0.0001775,0.001230095,0.004741,89.26,0.00079862,0.001774,0.003097474,0.000305019,1.00E-06,0.0001594,1.428,0.00003544,0.02153,0.9735,3224
0.6349,0.0001775,0.000911858,0.004741,89.26,0.000768036,0.001774,0.00266302,0.00033833,8.85E-06,0.0003536,0.9663,0.00007344,0.02177,0.8591,3224
0.6349,0.0001775,0.000975137,0.004741,89.26,0.000727175,0.001774,0.003932145,0.000441507,4.08E-06,0.00029,1.128,0.00005718,0.02199,0.9029,3224
0.6349,0.0001775,0.001051084,0.004741,89.26,0.000727411,0.001774,0.002996956,0.000280589,1.21E-05,0.0003882,0.906,0.00003638,0.02039,0.9528,3224
0.6349,0.0001775,0.00112358,0.004741,89.26,0.000698794,0.001774,0.003993783,0.000430796,6.01E-06,0.0003102,1.036,0.00007931,0.02259,0.8545,3224
0.6349,0.0001775,0.000798689,0.004741,89.26,0.000790741,0.001774,0.003169623,0.000477913,5.16E-06,0.0003153,1.075,0.0001071,0.02331,0.8119,3224
0.6349,0.0001775,0.000986162,0.004741,89.26,0.000767831,0.001774,0.003636376,0.000430504,1.96E-06,0.0002364,1.278,0.00005817,0.0227,0.9001,3224
0.6349,0.0001775,0.000600585,0.004741,89.26,0.000655086,0.001774,0.003885214,0.000506907,4.72E-06,0.0003122,1.1,0.00007042,0.02217,0.8706,3224
0.6349,0.0001775,0.00098784,0.004741,89.26,0.000782335,0.001774,0.003553862,0.00040371,1.75E-06,0.0002328,1.293,0.0001301,0.02361,0.78,3224
0.6349,0.0001775,0.00098504,0.004741,89.26,0.000668746,0.001774,0.003591228,0.000397679,1.22E-06,0.0001982,1.372,0.00008671,0.02236,0.834,3224
0.6349,0.0001775,0.00060943,0.004741,89.26,0.000681617,0.001774,0.002238469,0.0003202,1.00E-06,0.0001915,1.424,0.00005861,0.02193,0.8915,3224
0.6349,0.0001775,0.000558684,0.004741,89.26,0.000849134,0.001774,0.002135871,0.000385371,1.78E-06,0.0002147,1.289,0.0001124,0.02312,0.8008,3224
0.6349,0.0001775,0.000713372,0.004741,89.26,0.000543086,0.001774,0.002501243,0.000353966,6.84E-06,0.0003236,1.024,0.0001133,0.02354,0.8058,3224
0.6349,0.0001775,0.000707814,0.004741,89.26,0.000705843,0.001774,0.002635485,0.000377163,1.00E-06,0.0001913,1.418,0.00008592,0.02206,0.8392,3224
0.6349,0.0001775,0.000714662,0.004741,89.26,0.000590951,0.001774,0.002265252,0.000339265,1.45E-06,0.0002094,1.332,0.00006851,0.02252,0.8724,3224
0.6349,0.0001775,0.000880351,0.004741,89.26,0.000758442,0.001774,0.002914377,0.000373752,1.35E-06,0.0002141,1.362,0.00008253,0.02355,0.853,3224
0.6349,0.0001775,0.001075972,0.004741,89.26,0.000724715,0.001774,0.003415863,0.000372334,3.61E-06,0.0002894,1.16,0.000162,0.0236,0.7487,3224
0.6349,0.0001775,0.001316812,0.004741,89.26,0.000714049,0.001774,0.004108366,0.000422114,1.00E-06,0.0002024,1.42,0.00006773,0.02261,0.8805,3224
0.6349,0.0001775,0.000992866,0.004741,89.26,0.000674842,0.001774,0.003206612,0.00036864,3.36E-06,0.0002704,1.176,0.0001189,0.02388,0.7979,3224
0.6349,0.0001775,0.000730302,0.004741,89.26,0.000567263,0.001774,0.002160754,0.000334522,1.00E-06,0.0001598,1.424,0.00005858,0.02222,0.8969,3224
0.6349,0.0001775,0.000647953,0.004741,89.26,0.000666534,0.001774,0.002042675,0.000359246,9.43E-06,0.0003458,0.9434,0.00004796,0.02221,0.9234,3224
0.6349,0.0001775,0.001099518,0.004741,89.26,0.000745843,0.001774,0.004270363,0.000422001,1.53E-05,0.0003674,0.8373,0.0001249,0.0235,0.7926,3224
0.6349,0.0001775,0.00086683,0.004741,89.26,0.000622431,0.001774,0.002619718,0.000333858,1.09E-05,0.00032,0.915,0.00007881,0.02277,0.8568,3224
0.6349,0.0001775,0.000838723,0.004741,89.26,0.000645466,0.001774,0.002741072,0.000368859,3.92E-06,0.0002925,1.141,0.00009336,0.02229,0.8279,3224
0.6349,0.0001775,0.000850324,0.004741,89.26,0.000802172,0.001774,0.003102138,0.000416935,2.59E-06,0.0002547,1.223,0.00006197,0.02193,0.8813,3224
0.6349,0.0001775,0.001012092,0.004741,89.26,0.000674316,0.001774,0.003783723,0.00039787,2.99E-06,0.0002645,1.189,0.0000849,0.02243,0.8443,3224
0.6349,0.0001775,0.000690034,0.004741,89.26,0.000628834,0.001774,0.002366795,0.000375385,2.11E-06,0.0002264,1.248,0.0001524,0.02465,0.762,3224
0.6349,0.0001775,0.000645439,0.004741,89.26,0.00073234,0.001774,0.002193714,0.000387192,1.00E-06,0.0001565,1.423,0.0001273,0.02323,0.7804,3224
0.6349,0.0001775,0.000880657,0.004741,89.26,0.000738546,0.001774,0.002857916,0.000355683,2.22E-06,0.0002464,1.235,0.000122,0.02312,0.7909,3224
