kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.002591178,0.003204214,0.003958729,0.002661306,0.000232067,2.88E-05,0.003424,0.8919,0.0001096,0.02696,0.8961
0.002312604,0.002916884,0.003813103,0.002963236,0.000244275,4.02E-05,0.003581,0.8379,0.0001629,0.03977,0.8551
0.002280872,0.003627052,0.003781411,0.001599806,0.000205751,3.62E-05,0.003708,0.8567,0.0001011,0.03256,0.9079
0.001863111,0.002967682,0.004076457,0.002610225,0.000222519,3.01E-05,0.003229,0.8778,7.74E-05,0.02866,0.9456
0.001504975,0.003150355,0.003909207,0.001997324,0.000246129,3.80E-05,0.00365,0.8493,0.0001334,0.03449,0.8643
0.001562255,0.004702547,0.003720448,0.002336453,0.000225514,3.67E-05,0.003513,0.8498,8.26E-05,0.02771,0.9218
0.001895765,0.002709393,0.004062727,0.00197977,0.000218698,4.17E-05,0.003735,0.8309,0.0002893,0.07508,0.8405
0.001960441,0.002613192,0.003408988,0.002314629,0.0002085,3.87E-05,0.003472,0.8377,0.0001685,0.03683,0.8702
0.001767623,0.003086318,0.003265197,0.003996043,0.000257124,3.37E-05,0.003295,0.8575,0.0001642,0.05181,0.8857
0.002162845,0.004842102,0.003489296,0.001505872,0.000216762,3.01E-05,0.003399,0.8789,0.0001885,0.04567,0.8533
0.002037763,0.002723791,0.00327216,0.002662073,0.000217296,3.55E-05,0.003335,0.8478,0.0001278,0.04198,0.8998
0.002094457,0.002545895,0.00684176,0.002615519,0.000251906,3.59E-05,0.003497,0.8529,0.0001836,0.02999,0.8303
0.001768156,0.003322419,0.004246072,0.001934115,0.000277284,3.51E-05,0.003385,0.8541,0.0001712,0.03902,0.8623
0.00216026,0.002804894,0.003121685,0.004380708,0.000237181,4.47E-05,0.003777,0.8243,0.0001364,0.04355,0.8994
0.002218433,0.00265992,0.004159969,0.002154297,0.000234714,3.58E-05,0.003496,0.8503,0.0001843,0.03235,0.8162
0.001845303,0.003515646,0.003636936,0.002168568,0.000235861,3.90E-05,0.003487,0.8355,0.0001925,0.0411,0.8373
0.002410432,0.003589296,0.003746712,0.002284075,0.000233855,3.45E-05,0.003563,0.8613,0.0003408,0.04608,0.7734
0.001535041,0.003123108,0.003849508,0.002815268,0.000253011,3.33E-05,0.003388,0.8647,0.0001168,0.04945,0.9289
0.002654499,0.002436089,0.003597492,0.001991626,0.00021276,3.28E-05,0.003484,0.8656,0.0001386,0.02132,0.8345
0.002198708,0.003300175,0.00379381,0.00312296,0.000263422,3.89E-05,0.003558,0.8381,9.76E-05,0.0285,0.9112
0.002208791,0.003090934,0.003417994,0.00225706,0.000235263,3.88E-05,0.003509,0.8393,0.000244,0.0613,0.8478
0.001895684,0.003354398,0.003307711,0.002859575,0.00024448,3.18E-05,0.003293,0.8702,0.0001551,0.03956,0.86
0.001669608,0.002693125,0.003659275,0.002945232,0.000230604,3.48E-05,0.003626,0.8609,0.0001978,0.03907,0.8312
0.002707671,0.002912932,0.003095101,0.002496751,0.000254185,3.93E-05,0.003661,0.8407,0.0001177,0.03292,0.8889
0.001737327,0.005144212,0.00449027,0.002226433,0.000235187,3.27E-05,0.003368,0.8632,0.000125,0.03781,0.8959
0.002238568,0.003502869,0.003302933,0.002152127,0.000231272,3.87E-05,0.003589,0.8373,0.0001448,0.03799,0.8866
0.001528788,0.003001952,0.003465886,0.00169746,0.000244246,3.81E-05,0.00357,0.8467,0.0001553,0.02858,0.8404
0.002470409,0.002722588,0.002926223,0.003730349,0.000223387,4.34E-05,0.0036,0.8215,0.0001603,0.03899,0.8502
0.002048401,0.00356859,0.006822049,0.002514247,0.000227385,3.71E-05,0.00353,0.8465,9.40E-05,0.03522,0.9357
