Time(mins),PlasmaConcentration(ng/ml)
0,0
2.5,0.161691542
5,0.945273632
10,3.694029851
15,4.378109453
20,3.532338308
30,3.208955224
45,2.860696517
60,2.537313433
120,1.990049751
180,1.568758344
240,1.308411215
360,0.914552737
480,0.654205607
720,0.420560748
960,0.267022697
1440,0.106809079
