fulltimes,avg
358,11.39575878
359,11.36677575
360,11.33795805
361,11.3093044
362,11.28081352
363,11.25248413
364,11.22431503
365,11.19630497
366,11.16845271
367,11.14075701
368,11.11321628
369,11.08582978
370,11.05859652
371,11.03151505
372,11.00458409
373,10.97780249
374,10.95116913
375,10.92468291
376,10.89834273
377,10.87214746
378,10.84609599
379,10.82018721
380,10.79442003
381,10.7687933
382,10.74330495
383,10.71795607
384,10.692745
385,10.66767023
386,10.64273075
387,10.61792558
388,10.59325369
389,10.56871408
390,10.54430578
391,10.5200278
392,10.49587918
393,10.47185893
394,10.44796612
395,10.42419986
396,10.40055923
397,10.37704333
398,10.35365123
399,10.33038203
400,10.30723482
401,10.2842087
402,10.2613028
403,10.2385162
404,10.21584802
405,10.19329737
406,10.17086334
407,10.14854549
408,10.12634283
409,10.1042544
410,10.08227939
411,10.060417
412,10.03866641
413,10.0170268
414,9.995497375
415,9.974077384
416,9.952766073
417,9.931562681
418,9.910466443
419,9.889476601
420,9.8685924
421,9.847813093
422,9.827137936
423,9.80656422
424,9.786095649
425,9.765728915
426,9.745463342
427,9.725298256
428,9.705232978
429,9.685266825
430,9.665399118
431,9.645629183
432,9.62595635
433,9.606379768
434,9.586898274
435,9.567512907
436,9.548221922
437,9.529024713
438,9.509920664
439,9.490909156
440,9.471989571
441,9.453161299
442,9.434423729
443,9.415776232
444,9.397218124
445,9.378748788
446,9.360367656
447,9.342074167
448,9.323867754
449,9.305747848
450,9.287713878
451,9.269765283
452,9.251901502
453,9.234121955
454,9.216426008
455,9.198813075
456,9.181282629
457,9.163834086
458,9.146466971
459,9.129180902
460,9.111975241
461,9.094849443
462,9.077802993
463,9.060835365
464,9.043945983
465,9.027134311
466,9.010399866
467,8.99374217
468,8.977160741
469,8.960655096
470,8.944224754
471,8.927869233
472,8.911588057
473,8.895380734
474,8.879245616
475,8.863184302
476,8.84719589
477,8.831279321
478,8.815434165
479,8.799659991
480,8.783956366
481,8.768322856
482,8.752759031
483,8.737264447
484,8.72183863
485,8.706481106
486,8.691191448
487,8.675969252
488,8.660814118
489,8.645725647
490,8.630703441
491,8.615747096
492,8.600856213
493,8.586030384
494,8.571269169
495,8.556572106
496,8.541938781
497,8.527368819
498,8.512861847
499,8.498417498
500,8.484035399
501,8.469715177
502,8.45545646
503,8.441258872
504,8.42712201
505,8.413045448
506,8.399028804
507,8.38507173
508,8.371173875
509,8.35733484
510,8.343554357
511,8.329832157
512,8.316167786
513,8.3025609
514,8.28901113
515,8.275517498
516,8.262081
517,8.248700521
518,8.235375745
519,8.222106357
520,8.208892042
521,8.195732484
522,8.182627366
523,8.169576368
524,8.156579151
525,8.143635016
526,8.130743919
527,8.117906214
528,8.105120946
529,8.092387828
530,8.079706573
531,8.067076897
532,8.054498512
533,8.041971125
534,8.029494428
535,8.017068095
536,8.004691796
537,7.992365236
538,7.980088141
539,7.96786024
540,7.955681269
541,7.943550961
542,7.931469049
543,7.91943526
544,7.907449309
545,7.895510895
546,7.883619701
547,7.871775438
548,7.85997785
549,7.848226685
550,7.836521694
551,7.824862631
552,7.813249242
553,7.801681275
554,7.790158466
555,7.778680535
556,7.767247191
557,7.755858165
558,7.744513219
559,7.733212115
560,7.721954608
561,7.710740462
562,7.699569488
563,7.688441445
564,7.677356058
565,7.666313069
566,7.655311563
567,7.644352529
568,7.633435428
569,7.622559718
570,7.611725188
571,7.600931627
572,7.590178825
573,7.579466566
574,7.568794628
575,7.558162777
576,7.547570768
577,7.537018326
578,7.526505314
579,7.516031483
580,7.505596635
581,7.495200572
582,7.484843098
583,7.474524013
584,7.46424311
585,7.454000172
586,7.44379497
587,7.433627262
588,7.423496837
589,7.413403505
590,7.403347079
591,7.393327373
592,7.383344204
593,7.373397385
594,7.363486723
595,7.353612015
596,7.343773049
597,7.333969601
598,7.324201473
599,7.314468486
600,7.304770464
601,7.295107234
602,7.285478622
603,7.275884454
604,7.266324549
605,7.256798718
606,7.247306764
607,7.237848349
608,7.228423586
609,7.219032131
610,7.20967382
611,7.20034849
612,7.191055969
613,7.18179609
614,7.172568735
615,7.163373696
616,7.154210783
617,7.145079473
618,7.135980197
619,7.126912703
620,7.117876633
621,7.108871838
622,7.099898168
623,7.090955476
624,7.082043607
625,7.073162402
626,7.064311692
627,7.055491302
628,7.046701057
629,7.037940807
630,7.02921041
631,7.020509723
632,7.011838607
633,7.003196919
634,6.994584519
635,6.986001256
636,6.977446975
637,6.968921509
638,6.960424688
639,6.951956363
640,6.943516401
641,6.935104666
642,6.926721027
643,6.918365351
644,6.910037504
645,6.901737348
646,6.893464736
647,6.885219513
648,6.877001519
649,6.868810617
650,6.860646678
651,6.852509577
652,6.844399189
653,6.836315389
654,6.828258051
655,6.820227044
656,6.812222233
657,6.804243471
658,6.796290231
659,6.788363155
660,6.780461829
661,6.772586009
662,6.764735582
663,6.756910431
664,6.749110432
665,6.741335477
666,6.733585461
667,6.725860229
668,6.718159612
669,6.710483487
670,6.702831857
671,6.695204517
672,6.687601361
673,6.680022281
674,6.67246717
675,6.664935916
676,6.657428403
677,6.649944509
678,6.642484105
679,6.635047063
680,6.627633265
681,6.62024261
682,6.612874996
683,6.60553032
684,6.598208479
685,6.590909371
686,6.583632886
687,6.576378911
688,6.569147324
689,6.561938003
690,6.554750837
691,6.547585729
692,6.540442581
693,6.533321297
694,6.52622178
695,6.519143932
696,6.512087651
697,6.505052831
698,6.498039359
699,6.491047111
700,6.484076001
701,6.477125927
702,6.470196796
703,6.463288517
704,6.456400999
705,6.449534149
706,6.442687872
707,6.435862066
708,6.429056627
709,6.422271123
710,6.415506143
711,6.408761281
712,6.402036386
713,6.395331372
714,6.388646156
715,6.381980652
716,6.375334766
717,6.368708421
718,6.36210152
719,6.355513955
720,6.348945628
721,6.342396457
722,6.33586636
723,6.329355259
724,6.322863075
725,6.316389728
726,6.309935134
727,6.303499209
728,6.29708186
729,6.290682994
730,6.28430251
731,6.277940326
732,6.271596366
733,6.265270554
734,6.258962814
735,6.25267307
736,6.246401245
737,6.240147257
738,6.233911022
739,6.22769245
740,6.221491447
741,6.215307936
742,6.209141843
743,6.202993097
744,6.196861626
745,6.190747358
746,6.18465022
747,6.178570134
748,6.172507022
749,6.166460793
750,6.16043104
751,6.15441844
752,6.148422479
753,6.142443089
754,6.136480207
755,6.130533764
756,6.124603696
757,6.11868993
758,6.112792396
759,6.106911015
760,6.101045633
761,6.095196296
762,6.089362944
763,6.083545456
764,6.077743768
765,6.071957819
766,6.066187546
767,6.060432879
768,6.054693756
769,6.048970109
770,6.043261857
771,6.037568917
772,6.031891226
773,6.026228725
774,6.020581355
775,6.014949057
776,6.009331772
777,6.003729438
778,5.998141991
779,5.992569364
780,5.987011483
781,5.981468271
782,5.975939664
783,5.970425608
784,5.964926046
785,5.959440921
786,5.953970177
787,5.948513756
788,5.943071596
789,5.937643634
790,5.932229802
791,5.926830026
792,5.921444246
793,5.91607241
794,5.910714463
795,5.905370353
796,5.900040026
797,5.894723425
798,5.889420493
799,5.884131171
800,5.878855372
801,5.873592897
802,5.86834407
803,5.863108599
804,5.857886435
805,5.852677528
806,5.847481829
807,5.842299287
808,5.837129847
809,5.831973456
810,5.826830052
811,5.821699572
812,5.816581959
813,5.811477165
814,5.806385141
815,5.801305842
816,5.796239219
817,5.791185224
818,5.786143807
819,5.781114914
820,5.776098489
821,5.771094473
822,5.766102806
823,5.76112344
824,5.75615633
825,5.751201431
826,5.746258698
827,5.741328085
828,5.736409544
829,5.731503025
830,5.726608476
831,5.721725837
832,5.716855054
833,5.711996081
834,5.707148876
835,5.702313396
836,5.697489597
837,5.692677435
838,5.687876866
839,5.683087841
840,5.678310311
841,5.673544202
842,5.66878938
843,5.66404606
844,5.659314035
845,5.654593265
846,5.64988371
847,5.645185328
848,5.640498079
849,5.635821917
850,5.631156796
851,5.626502666
852,5.621859396
853,5.617227113
854,5.612605701
855,5.607995106
856,5.603395288
857,5.598806211
858,5.594227833
859,5.589660116
860,5.585103014
861,5.58055648
862,5.576020466
863,5.571494928
864,5.566979828
865,5.562475129
866,5.557980796
867,5.553496792
868,5.549023079
869,5.544559619
870,5.540106369
871,5.535663282
872,5.53123032
873,5.526807434
874,5.522394587
875,5.517991744
876,5.513598871
877,5.509215933
878,5.504842893
879,5.500479716
880,5.496126362
881,5.491782788
882,5.487448951
883,5.483124809
884,5.478810327
885,5.474505471
886,5.470210209
887,5.465924507
888,5.461648331
889,5.457381645
890,5.453124413
891,5.448876594
892,5.444638133
893,5.440408867
894,5.436189093
895,5.431978581
896,5.427777295
897,5.423585204
898,5.419402277
899,5.415228482
900,5.411063784
901,5.406908145
902,5.40276153
903,5.398623899
904,5.394495217
905,5.390375456
906,5.386264586
907,5.382162577
908,5.3780694
909,5.373985023
910,5.369909414
911,5.365842538
912,5.36178436
913,5.357734841
914,5.353693944
915,5.349661641
916,5.345637904
917,5.341622703
918,5.337616012
919,5.3336178
920,5.329628037
921,5.325646685
922,5.321673718
923,5.317709096
924,5.313752784
925,5.309804754
926,5.305864978
927,5.301933432
928,5.298010086
929,5.294094913
930,5.290187883
931,5.286288965
932,5.282398127
933,5.27851529
934,5.274640493
935,5.270773715
936,5.266914892
937,5.263064
938,5.259221012
939,5.255385902
940,5.251558642
941,5.247739203
942,5.243927555
943,5.240123654
944,5.236327442
945,5.232538993
946,5.22875822
947,5.224985095
948,5.221219594
949,5.217461692
950,5.213711363
951,5.209968579
952,5.206233312
953,5.202505533
954,5.198785209
955,5.195072312
956,5.191366821
957,5.187668711
958,5.18397796
959,5.180294544
960,5.176618439
961,5.172949617
962,5.169288052
963,5.165633715
964,5.161986576
965,5.158346607
966,5.154713786
967,5.151088089
968,5.147469497
969,5.143857985
970,5.140253529
971,5.136656103
972,5.133065686
973,5.129482249
974,5.12590576
975,5.122336194
976,5.11877353
977,5.115217746
978,5.111668821
979,5.108126734
980,5.104591462
981,5.10106298
982,5.097541265
983,5.09402629
984,5.090517977
985,5.087016354
986,5.083521475
987,5.080033235
988,5.076551617
989,5.073076598
990,5.069608158
991,5.066146276
992,5.062690928
993,5.059242092
994,5.055799739
995,5.052363848
996,5.048934395
997,5.045511363
998,5.042094731
999,5.038684482
1000,5.035280594
1001,5.031883048
1002,5.02849182
1003,5.02510689
1004,5.021728231
1005,5.018355818
1006,5.014989631
1007,5.011629649
1008,5.008275855
1009,5.00492823
1010,5.001586756
1011,4.998251411
1012,4.994922176
1013,4.991599029
1014,4.988281945
1015,4.984970902
1016,4.981665877
1017,4.978366854
1018,4.975073815
1019,4.971786741
1020,4.968505614
1021,4.965230414
1022,4.961961125
1023,4.958697724
1024,4.955440188
1025,4.95218843
1026,4.948942571
1027,4.945702519
1028,4.942468252
1029,4.939239753
1030,4.936017004
1031,4.932799988
1032,4.929588687
1033,4.926383082
1034,4.92318315
1035,4.919988863
1036,4.916800195
1037,4.913617172
1038,4.910439747
1039,4.907267903
1040,4.904101626
1041,4.900940897
1042,4.897785701
1043,4.894636018
1044,4.891491828
1045,4.888353111
1046,4.885219846
1047,4.882092015
1048,4.878969604
1049,4.875852598
1050,4.87274098
1051,4.869634736
1052,4.866533847
1053,4.863438298
1054,4.860348068
1055,4.857263138
1056,4.854183487
1057,4.851109099
1058,4.848039959
1059,4.844976052
1060,4.841917363
1061,4.838863877
1062,4.835815577
1063,4.832772449
1064,4.829734472
1065,4.826701629
1066,4.823673898
1067,4.820651265
1068,4.817633715
1069,4.814621234
1070,4.811613808
1071,4.808611421
1072,4.805614059
1073,4.802621706
1074,4.799634344
