"","F","kin","kout","ktr","kout2","k1","k2","k12","k13","k21","k31","A1","B1","n","A2","B2","n2","V1","Mmass","V_A","P_I_co2","Wmax","lumbda","Q1","s1","z","alpha_co2","C_B_hco3","C_T_hco3","alpha_o2","K1","K2","a1","a2","alpha1","beta1","alpha2","beta2","Z","C1Spencer","C2Spencer","Qb0","Qt0","rou","V_B","M_B_co2","M_B_o2_0","V_T","M_T_co2","M_T_o2_0","P3","offDp","P1","Bmax","P2","offDc","Aco2","Bco2","Cco2","Dco2","P_a_co2_0","tau_co2","c1o2","c2o2","P_a_o2_0","tau_o2","K_Dp","K_Dc","K_fpc","Bp","f_pc_max","f_pc_min","f_pc_0","P_a_o2_c","K_pc","tau_Dp","tau_Dc","G_Dp","G_Dc","P_B_co2_0","theta_Hmin","Gh","P_B_o2_0","tau_h","theta_Hmax","W","fL","fN","offCo2","offO2","Infu_t","VP","Cim25","Cim26","Cim27","Cim28","CA_delay_o2","CA_delay_co2","tsh_value_o2","tsh_value_co2","Shock","k12N","k21N","V2","f1","f2","molarMassAntagonist","brainWeight","tau_o2Child","c1o2Child","Q_0","timeout","starttime","initialdelay"
"1.10",0.1564,2e-04,0.002,0.003,5.5433,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,165300.8099,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,14.6217,45.2,146198.1321,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.11",0.1566,3e-04,0.002,0.0017,7.8919,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,119930.5007,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,22.1202,45.2,95816.069,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.12",0.1454,3e-04,0.002,0.0015,7.3766,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,130838.1682,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,14.9081,45.2,117137.2101,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.13",0.184,4e-04,0.002,0.0018,6.4605,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,106447.1531,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,9.4363,45.2,69024.2792,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.14",0.1577,4e-04,0.002,0.0019,7.1407,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,80362.1096,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,10.1281,45.2,98761.2542,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.15",0.1518,3e-04,0.002,0.0021,8.5187,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,142069.1536,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,15.4924,45.2,192903.3493,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.16",0.1387,3e-04,0.002,0.0016,6.9545,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,108368.0297,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,13.3765,45.2,124110.1861,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.17",0.1737,5e-04,0.002,0.0024,9.0347,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,84767.7724,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,13.5566,45.2,126160.9269,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.18",0.1217,3e-04,0.002,0.0025,6.782,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,83280.9097,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,17.1515,45.2,138761.9469,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
"1.19",0.2724,4e-04,0.002,0.0018,5.6709,0.003,0.001774,0.0032,0.0036,0.0023,0.00023,3.08e-05,0.004331,0.8439,4.716e-08,0.001333,1.837,94508.6418,336.4,3.28,0,6.62,863,0,0.024,0,0.000667,0.5824,0.5824,3.17e-05,14.99,194.4,0.3836,1.819,0.03198,0.008275,0.05591,0.03255,0.02272,9,86.11,0.0125,0.0708333333333333,0.32,1.32,0.000666666666666667,-0.000833333333333333,38.68,0.00266666666666667,-0.00333333333333333,1.323,1,4.22625,0.66,0.06319,1,-30,60,40,4.5,40,20,17,11,95,10,0.588,0.9239,1.738,18,12.3,0.8352,3.67,45,29.27,7,60,2.5,2,45.27,29.8,10,32,300,37,6.62,0.87,0.93,1,1,300,10.5,0.024,0.024,1,1,1e+05,1e+05,15,52.5,0,12.2415,45.2,199397.603,0.1286,0.1058,339.435,1500,10,17,0.0811666666666667,600,30,60
