"","Kin","Kout","Ktr","V1","k12N","V2","F"
"31554",0.0135807818235959,1.02849656615646,0.011022389041636,51492.127252327,87.2777064780432,36554.8976198078,0.172259827056272
"94002",0.00386412003823715,18.1274209504888,0.0134526370298336,250492.384576009,0.791172826497448,334793.483466612,0.365813240105864
"115912",0.056058688864134,0.00703994765056421,0.00240021949070904,89538.3639349754,112.257364613983,107480.969955259,0.156766664514421
"44050",0.00926902998095959,1.1864516757638,0.0183567214756357,74521.4802927679,14.9337181284798,224040.292847762,0.363129170933252
"18802",0.0934595545306431,11.7985528555848,0.00229973824908084,277395.098447788,1.06222038536758,222596.907548467,0.620513545541016
"107174",0.0856384822183627,2.74247708598399,0.00246277598048637,53818.3221564353,2.00909861763841,129596.511181726,0.160336945189182
"82738",0.00960492105748675,50.3472507025453,0.0110606934952907,240379.455450983,1.20353088035719,263434.807689084,0.757934029721648
"83157",0.00960493472824751,50.3472505518268,0.0110606756995645,240379.45545078,1.20353079742489,263434.807688996,0.757934098935685
"3295",0.129146136892468,0.0114237931060296,0.00136279042086242,53412.1170337571,69.6588394634343,213223.77795258,0.515774216013434
"29287",0.0856427347940133,0.00723503914619002,0.00333714780834118,179191.447571378,83.9989228372468,179165.001493232,0.413990053002166
"26767",0.0964541995023707,4.13918494500395,0.00792860843219318,74777.1301683136,11.7010440554435,134598.225882057,0.201574338235698
"39178",0.0142174115365599,16.3763395675249,0.0155745281042158,275671.548118208,1.05562676931565,253573.571234097,0.420551155690925
"99349",0.00441622026333084,0.00839310993268895,0.111726894428082,284374.32758925,1.32775701174003,216044.357172373,0.336806776098083
"37018",0.0104686885300699,6.43271787615866,0.00120008460095647,98426.8654290431,95.1876205221604,41184.6002813542,0.15056357327308
"85368",0.00762718266875707,9.27520847531668,0.0239217677441244,18755.3179481624,109.556339179319,34603.8984212539,0.173277668378606
"20900",0.00382588373105787,0.409504492047752,0.00418097546928959,18261.2227511054,58.5544486020973,153724.277654187,0.198875007190469
"39271",0.0142174370305534,16.376339595329,0.0155745478008091,275671.548118266,1.05562674396948,253573.571234083,0.420551240050431
"49435",0.00141322841214737,0.00933649130911335,0.00118856451106783,86991.9867185684,61.6126944893359,176300.460409609,0.448042409930995
"63503",0.000887658124149568,9.20945433546503,0.0102633777176713,80708.4736619228,0.894323125814624,279683.88197319,0.192252005192914
"3506",0.129146097754769,0.0114237846177519,0.00136266156095203,53412.1170336666,69.658839663729,213223.777952495,0.515774196437528
