A1,B1,n
0.0001901,0.0415,0.8499
0.000318,0.04694,0.7821
0.0001976,0.05872,0.8718
7.562e-05,0.02724,0.9367
0.0002319,0.03143,0.7843
0.000136,0.04386,0.889
0.0001744,0.05411,0.8761
0.0001507,0.06278,0.9046
0.0004242,0.05928,0.7696
0.0001329,0.03221,0.8623
9.283e-05,0.03244,0.9186
0.0001831,0.03971,0.859
0.0001281,0.03767,0.894
0.0002247,0.04825,0.8367
0.0002375,0.04064,0.8019
9.192e-05,0.02767,0.8973
0.0001288,0.03202,0.8518
9.244e-05,0.02984,0.9096
0.0003347,0.06526,0.8019
0.0001451,0.0317,0.8603
0.0001605,0.04086,0.8592
0.000125,0.03203,0.8739
0.0002001,0.03039,0.8079
0.0001812,0.0517,0.8735
6.993e-05,0.03498,0.9724
0.0002104,0.0397,0.8274
0.0002527,0.06254,0.8395
9.835e-05,0.0274,0.8955
0.000247,0.0382,0.7999
0.0001289,0.03558,0.889
0.000127,0.04279,0.906
0.0001323,0.03234,0.8723
0.0001311,0.03226,0.8848
0.0001507,0.05019,0.8888
0.000159,0.05159,0.8898
0.0001582,0.03972,0.8672
8.473e-05,0.03186,0.9349
0.0001105,0.02887,0.8947
0.0001932,0.04738,0.8469
0.0001476,0.03938,0.8754
0.0001585,0.03195,0.8483
0.0001766,0.02694,0.8182
0.0001606,0.03282,0.8544
0.0001886,0.03515,0.8233
8.995e-05,0.0348,0.9365
0.0001423,0.03585,0.861
0.0001742,0.05481,0.8729
0.000178,0.03245,0.8347
0.000143,0.03871,0.8743
0.0001659,0.0317,0.8388
0.0002143,0.04775,0.8394
9.938e-05,0.02851,0.9019
0.0001364,0.0407,0.8787
0.0001879,0.07153,0.8894
0.0001726,0.03132,0.8375
0.0001524,0.03958,0.8793
0.0002085,0.05103,0.851
0.000162,0.04798,0.8746
0.0002213,0.03496,0.8035
0.0001347,0.03962,0.8862
0.0001888,0.0377,0.8516
0.0001599,0.04138,0.8644
0.0002599,0.04801,0.8107
0.0001048,0.02971,0.893
0.0001694,0.05011,0.8739
0.0002648,0.03066,0.768
9.914e-05,0.03281,0.9017
0.0001044,0.03934,0.9267
0.0002231,0.04778,0.8372
0.0001086,0.02757,0.8953
0.0002872,0.0607,0.8232
9.949e-05,0.02641,0.8925
0.0002083,0.04588,0.8361
0.0001813,0.02771,0.8137
0.0001972,0.04504,0.8452
0.0002418,0.04709,0.8221
0.0002617,0.03933,0.7982
0.0002776,0.05019,0.816
0.0001268,0.03748,0.8892
0.0001379,0.03131,0.8707
0.0002094,0.03809,0.8262
0.000228,0.0617,0.8639
0.0002105,0.03931,0.8241
0.000218,0.0479,0.8271
0.0001595,0.04907,0.8836
0.0001682,0.04841,0.8866
0.0001541,0.04754,0.8865
0.0001738,0.03885,0.8547
0.0001555,0.04014,0.8761
0.0001214,0.03944,0.9097
0.0001666,0.04216,0.8707
6.483e-05,0.03433,0.9793
0.000236,0.04414,0.8157
0.0003149,0.04605,0.7853
9.666e-05,0.03737,0.9361
9.254e-05,0.03336,0.9419
0.0001623,0.02794,0.8297
0.0001448,0.03164,0.8615
0.0001644,0.05111,0.8833
0.000122,0.04042,0.8981
0.0003816,0.05632,0.7707
0.0002501,0.04754,0.8158
7.4e-05,0.0235,0.9286
0.0001536,0.04092,0.8851
0.0001328,0.05054,0.9149
0.0001341,0.03367,0.8769
0.000229,0.05204,0.832
0.0001635,0.0401,0.8854
0.0001471,0.04157,0.8855
0.0001172,0.0432,0.9155
0.0001329,0.03244,0.8802
0.0001928,0.05122,0.861
0.0002707,0.05662,0.8247
5.665e-05,0.04937,1.032
0.0002556,0.03841,0.7971
0.0001975,0.03295,0.8173
9.27e-05,0.0238,0.8888
0.0002255,0.03847,0.8111
0.000245,0.0322,0.7826
0.0002122,0.03862,0.8241
0.0001397,0.03561,0.874
0.0001169,0.03394,0.8975
0.0001341,0.04323,0.8946
9.314e-05,0.03481,0.9403
0.0001058,0.03395,0.8983
0.0001481,0.03661,0.8579
0.0002079,0.04465,0.854
0.0001954,0.03613,0.8315
0.0002547,0.03225,0.7828
0.0001349,0.04568,0.9025
0.0001595,0.03446,0.8607
8.112e-05,0.03313,0.9444
0.0001445,0.02964,0.8412
0.0001736,0.03223,0.8236
0.000133,0.03288,0.8687
0.0001452,0.0409,0.8766
0.000177,0.03066,0.8409
0.0001343,0.03366,0.8922
0.0004554,0.05984,0.7627
0.0001326,0.03423,0.8734
0.0001829,0.03174,0.8285
0.0001415,0.03242,0.8566
0.0002975,0.06475,0.8271
0.0001176,0.0394,0.9089
0.0001424,0.03947,0.8795
0.0001804,0.03059,0.8243
6.796e-05,0.04218,0.9869
0.0002258,0.04014,0.8232
0.0001303,0.03319,0.8651
0.0001833,0.03677,0.8299
0.0002136,0.03842,0.8184
0.0001278,0.02388,0.8645
9.816e-05,0.02731,0.9043
0.0002123,0.06281,0.873
0.0001608,0.04014,0.8601
0.0001677,0.04165,0.8677
0.0001805,0.04612,0.8647
0.0002415,0.04142,0.8097
0.0001278,0.03172,0.8713
0.00013,0.04055,0.8944
0.0002045,0.03401,0.8189
0.0001827,0.03405,0.8385
0.0001811,0.04006,0.8507
0.0001896,0.03245,0.8306
0.0001116,0.04003,0.9115
0.0002231,0.04898,0.8407
9.259e-05,0.03836,0.9239
0.0002005,0.04203,0.8394
0.0002406,0.05714,0.8376
0.000228,0.04188,0.8055
0.0002303,0.03059,0.7995
0.0001938,0.03293,0.8092
0.0002358,0.03102,0.7894
0.0001335,0.0413,0.8932
8.764e-05,0.03308,0.9188
0.0003326,0.04382,0.7778
0.0001172,0.03335,0.9
0.0001251,0.03814,0.8988
6.408e-05,0.03225,0.9751
0.0001073,0.0428,0.9349
0.0001442,0.03274,0.8691
0.0001149,0.02262,0.8627
0.0001087,0.02816,0.899
0.0002593,0.04496,0.7967
0.0001341,0.03806,0.8735
0.0002292,0.03259,0.7954
0.0002964,0.05528,0.8189
0.0001245,0.02776,0.8915
0.0002029,0.03995,0.8201
0.0001975,0.07599,0.8906
0.0002602,0.03946,0.7904
0.0001208,0.03432,0.8821
0.0001701,0.04276,0.8588
0.0002656,0.0572,0.8194
