"","","patientventiN","patientventi","patientventi","patientventi","patientventi"
"1",0,1,1,1,1,1
"2",0.0166666666666667,0.999999902121275,0.999999902121275,0.999999902121275,0.999999902121275,0.999999902121275
"3",0.0333333333333333,0.99999801412386,0.99999801412386,0.99999801412386,0.99999801412386,0.99999801412386
"4",0.05,0.999988541615361,0.999988541615361,0.999988541615361,0.999988541615361,0.999988541615361
"5",0.0666666666666667,0.999960523763621,0.999960523763621,0.999960523763621,0.999960523763621,0.999960523763621
"6",0.0833333333333333,0.99989752774099,0.99989752774099,0.99989752774099,0.99989752774099,0.99989752774099
"7",0.1,0.999777775008427,0.999777775008427,0.999777775008427,0.999777775008427,0.999777775008427
"8",0.116666666666667,0.999574490069827,0.999574490069827,0.999574490069827,0.999574490069827,0.999574490069827
"9",0.133333333333333,0.999256489372624,0.999256489372624,0.999256489372624,0.999256489372624,0.999256489372624
"10",0.15,0.998788856029814,0.998788856029814,0.998788856029814,0.998788856029814,0.998788856029814
"11",0.166666666666667,0.998133808283859,0.998133808283859,0.998133808283859,0.998133808283859,0.998133808283859
"12",0.183333333333333,0.997251529441568,0.997251529441568,0.997251529441568,0.997251529441568,0.997251529441568
"13",0.2,0.996100874596018,0.996100874596018,0.996100874596018,0.996100874596018,0.996100874596018
"14",0.216666666666667,0.994640878991642,0.994640878991642,0.994640878991642,0.994640878991642,0.994640878991642
"15",0.233333333333333,0.992831746091698,0.992831746091698,0.992831746091698,0.992831746091698,0.992831746091698
"16",0.25,0.990635396250717,0.990635396250717,0.990635396250717,0.990635396250717,0.990635396250717
"17",0.266666666666667,0.988014576305767,0.988014576305767,0.988014576305767,0.988014576305767,0.988014576305767
"18",0.283333333333333,0.984936254190122,0.984936254190122,0.984936254190122,0.984936254190122,0.984936254190122
"19",0.3,0.981371897852337,0.981371897852337,0.981371897852337,0.981371897852337,0.981371897852337
"20",0.316666666666667,0.977297244187673,0.977297244187673,0.977297244187673,0.977297244187673,0.977297244187673
"21",0.333333333333333,0.972689368283144,0.972689368283144,0.972689368283144,0.972689368283144,0.972689368283144
"22",0.35,0.967532279721801,0.967532279721801,0.967532279721801,0.967532279721801,0.967532279721801
"23",0.366666666666667,0.961816161466011,0.961816161466011,0.961816161466011,0.961816161466011,0.961816161466011
"24",0.383333333333333,0.95553045094735,0.95553045094735,0.95553045094735,0.95553045094735,0.95553045094735
"25",0.4,0.948684470858465,0.948684470858465,0.948684470858465,0.948684470858465,0.948684470858465
"26",0.416666666666667,0.941267804276036,0.941267804276036,0.941267804276036,0.941267804276036,0.941267804276036
"27",0.433333333333333,0.933289802190773,0.933289802190773,0.933289802190773,0.933289802190773,0.933289802190773
"28",0.45,0.924763265745344,0.924763265745344,0.924763265745344,0.924763265745344,0.924763265745344
"29",0.466666666666667,0.915697759693842,0.915697759693842,0.915697759693842,0.915697759693842,0.915697759693842
"30",0.483333333333333,0.906106518063734,0.906106518063734,0.906106518063734,0.906106518063734,0.906106518063734
"31",0.5,0.896003974879646,0.896003974879646,0.896003974879646,0.896003974879646,0.896003974879646
"32",0.516666666666667,0.885404308744026,0.885404308744026,0.885404308744026,0.885404308744026,0.885404308744026
"33",0.533333333333333,0.874321782012244,0.874321782012244,0.874321782012244,0.874321782012244,0.874321782012244
"34",0.55,0.862775899078715,0.862775899078715,0.862775899078715,0.862775899078715,0.862775899078715
