"","","patientventiN","patientventi","patientventi","patientventi","patientventi"
"1",0,1,1,1,1,1
"2",0.0166666666666667,0.999999531153066,0.999999531153066,0.999999531153066,0.999999531153066,0.999999531153066
"3",0.0333333333333333,0.999990525614016,0.999990525614016,0.999990525614016,0.999990525614016,0.999990525614016
"4",0.05,0.999945645305664,0.999945645305664,0.999945645305664,0.999945645305664,0.999945645305664
"5",0.0666666666666667,0.999814070937329,0.999814070937329,0.999814070937329,0.999814070937329,0.999814070937329
"6",0.0833333333333333,0.9995217452364,0.9995217452364,0.9995217452364,0.9995217452364,0.9995217452364
"7",0.1,0.998973779041307,0.998973779041307,0.998973779041307,0.998973779041307,0.998973779041307
"8",0.116666666666667,0.998058523741547,0.998058523741547,0.998058523741547,0.998058523741547,0.998058523741547
"9",0.133333333333333,0.996652485124144,0.996652485124144,0.996652485124144,0.996652485124144,0.996652485124144
"10",0.15,0.994625841153789,0.994625841153789,0.994625841153789,0.994625841153789,0.994625841153789
"11",0.166666666666667,0.991849713005056,0.991849713005056,0.991849713005056,0.991849713005056,0.991849713005056
"12",0.183333333333333,0.988200721000556,0.988200721000556,0.988200721000556,0.988200721000556,0.988200721000556
"13",0.2,0.9835638559106,0.9835638559106,0.9835638559106,0.9835638559106,0.9835638559106
"14",0.216666666666667,0.977842559342876,0.977842559342876,0.977842559342876,0.977842559342876,0.977842559342876
"15",0.233333333333333,0.970957814870238,0.970957814870238,0.970957814870238,0.970957814870238,0.970957814870238
"16",0.25,0.962846448546035,0.962846448546035,0.962846448546035,0.962846448546035,0.962846448546035
"17",0.266666666666667,0.953473949776524,0.953473949776524,0.953473949776524,0.953473949776524,0.953473949776524
"18",0.283333333333333,0.942820419812948,0.942820419812948,0.942820419812948,0.942820419812948,0.942820419812948
"19",0.3,0.930889604540538,0.930889604540538,0.930889604540538,0.930889604540538,0.930889604540538
"20",0.316666666666667,0.917695400857518,0.917695400857518,0.917695400857518,0.917695400857518,0.917695400857518
"21",0.333333333333333,0.903272119684569,0.903272119684569,0.903272119684569,0.903272119684569,0.903272119684569
"22",0.35,0.88765091306785,0.88765091306785,0.88765091306785,0.88765091306785,0.88765091306785
"23",0.366666666666667,0.870874605662121,0.870874605662121,0.870874605662121,0.870874605662121,0.870874605662121
"24",0.383333333333333,0.852985622476903,0.852985622476903,0.852985622476903,0.852985622476903,0.852985622476903
"25",0.4,0.834023165054589,0.834023165054589,0.834023165054589,0.834023165054589,0.834023165054589
"26",0.416666666666667,0.814030401733566,0.814030401733566,0.814030401733566,0.814030401733566,0.814030401733566
"27",0.433333333333333,0.793057744402749,0.793057744402749,0.793057744402749,0.793057744402749,0.793057744402749
"28",0.45,0.771150095609255,0.771150095609255,0.771150095609255,0.771150095609255,0.771150095609255
"29",0.466666666666667,0.748354160477366,0.748354160477366,0.748354160477366,0.748354160477366,0.748354160477366
"30",0.483333333333333,0.724719107954524,0.724719107954524,0.724719107954524,0.724719107954524,0.724719107954524
"31",0.5,0.700323952195694,0.700323952195694,0.700323952195694,0.700323952195694,0.700323952195694
