Kon,Koff,n
1.983e-05,0.004254,0.936
2.599e-05,0.004434,0.8787
2.238e-05,0.004615,0.8963
1.641e-05,0.00431,0.9582
9.022e-05,0.004429,0.6617
0.0001334,0.004218,0.5666
1.514e-05,0.004947,0.9576
8.559e-05,0.00519,0.6922
1.441e-05,0.003828,0.9677
1.996e-05,0.00428,0.9124
1.775e-05,0.004018,0.9279
3.001e-05,0.004342,0.8309
1.297e-05,0.004265,0.9896
2.561e-05,0.004578,0.8933
1.488e-05,0.004225,0.9565
2.108e-05,0.004336,0.9248
1.902e-05,0.004191,0.9472
3.976e-05,0.004467,0.8099
2.998e-05,0.004637,0.8398
3.298e-05,0.004281,0.837
4.136e-05,0.004083,0.8061
4.866e-05,0.004669,0.7664
1.627e-05,0.004202,0.9657
2.797e-05,0.004523,0.8612
5.634e-05,0.004488,0.7639
5.747e-05,0.004455,0.7249
3.552e-05,0.004558,0.814
4.307e-05,0.00447,0.7949
3.333e-05,0.004611,0.8343
2.516e-05,0.004574,0.8612
4.862e-05,0.004539,0.7617
1.923e-05,0.003846,0.9136
1.708e-05,0.004631,0.9491
5.909e-05,0.004437,0.7234
8.771e-05,0.004353,0.662
2.222e-05,0.004143,0.9008
1.81e-05,0.004318,0.9378
0.0001081,0.004643,0.6409
1.763e-05,0.004428,0.9334
3.235e-05,0.004042,0.8281
2.552e-05,0.004627,0.8805
7.772e-05,0.004759,0.6807
2.749e-05,0.0043,0.8635
3.693e-05,0.004685,0.8209
5.469e-05,0.004906,0.7368
1.576e-05,0.004002,0.9518
1.985e-05,0.004047,0.9127
3.732e-05,0.004473,0.8055
5.452e-05,0.004494,0.7645
1.878e-05,0.00423,0.9195
1.464e-05,0.003861,0.9697
7.49e-05,0.005204,0.7049
2.952e-05,0.00427,0.8523
3.816e-05,0.004702,0.8152
4.521e-05,0.004576,0.7967
5.477e-05,0.00485,0.7366
6.067e-05,0.00454,0.7247
7.207e-05,0.004801,0.6851
1.827e-05,0.004024,0.9291
3.018e-05,0.00482,0.8331
2.678e-05,0.004089,0.8669
0.0001152,0.004216,0.6321
3.024e-05,0.00418,0.8466
1.608e-05,0.003807,0.9614
3.095e-05,0.004214,0.8458
1.947e-05,0.003912,0.9299
4.435e-05,0.004934,0.7761
2.045e-05,0.004495,0.9447
1.721e-05,0.003939,0.9464
7.584e-05,0.004269,0.6853
1.865e-05,0.0041,0.9282
4.035e-05,0.004503,0.7989
2.989e-05,0.003741,0.839
7.195e-05,0.0045,0.7022
1.886e-05,0.004662,0.9315
2.547e-05,0.004236,0.8699
3.014e-05,0.004219,0.8668
1.184e-05,0.003881,0.9971
1.911e-05,0.004108,0.9328
4.29e-05,0.004605,0.7831
2.602e-05,0.004357,0.8916
5.525e-05,0.004142,0.731
7.725e-06,0.004051,1.072
2.116e-05,0.004786,0.8919
1.695e-05,0.004403,0.9734
3.032e-05,0.004689,0.832
3.391e-05,0.005352,0.8386
1.836e-05,0.004047,0.9125
2.132e-05,0.004586,0.9067
2.899e-05,0.004262,0.8641
9.397e-05,0.004852,0.6453
1.956e-05,0.004088,0.9288
6.219e-05,0.004569,0.7174
4.447e-05,0.00463,0.7772
3.596e-05,0.004214,0.8301
2.29e-05,0.00403,0.8986
8.778e-06,0.003609,1.06
1.532e-05,0.004162,0.9709
1.137e-05,0.003862,1.015
2.659e-05,0.0046,0.8784
3.928e-05,0.004627,0.8034
2.397e-05,0.004072,0.8811
1.501e-05,0.004288,0.968
2.152e-05,0.00453,0.8932
3.362e-05,0.004565,0.8516
4.156e-05,0.004297,0.7861
5.142e-05,0.004417,0.7562
1.321e-05,0.004059,1.005
3.263e-05,0.004001,0.8227
2.935e-05,0.004831,0.8644
1.519e-05,0.004282,0.9635
2.651e-05,0.004846,0.8724
4.463e-05,0.004589,0.7859
5.445e-05,0.004551,0.7473
1.456e-05,0.004467,0.98
2.213e-05,0.004223,0.904
2.668e-05,0.004735,0.855
1.87e-05,0.004266,0.9514
2.976e-05,0.004398,0.8563
1.407e-05,0.004248,0.9908
2.936e-05,0.00442,0.8561
3.067e-05,0.004685,0.8537
2.001e-05,0.004222,0.9225
1.103e-05,0.003992,1.022
9.053e-06,0.003816,1.033
2.342e-05,0.004717,0.9007
3.561e-05,0.004906,0.8283
3.282e-05,0.00454,0.8364
3.456e-05,0.004959,0.8346
4.318e-05,0.004737,0.7679
3.374e-05,0.004772,0.8337
3.553e-05,0.004803,0.8343
4.194e-05,0.00386,0.7822
5.765e-05,0.004215,0.7517
3.299e-05,0.004532,0.8358
4.84e-05,0.004521,0.7477
1.014e-05,0.004185,1.029
3.019e-05,0.004341,0.8448
6.422e-05,0.00418,0.7027
3.276e-05,0.004622,0.8574
6.163e-05,0.004139,0.7142
3.383e-05,0.00421,0.8462
5.993e-05,0.004775,0.7408
2.459e-05,0.004427,0.8687
3.226e-05,0.004183,0.8363
4.833e-05,0.004704,0.7764
4.337e-05,0.004271,0.7805
2.442e-05,0.004991,0.9015
1.779e-05,0.004681,0.9291
6.37e-05,0.004475,0.708
7.285e-05,0.00467,0.6959
2.233e-05,0.004221,0.8956
4.5e-05,0.004381,0.7676
7.519e-05,0.004875,0.6963
3.471e-05,0.004182,0.8004
5.473e-05,0.004438,0.7211
3.958e-05,0.004137,0.802
3.086e-05,0.004276,0.8351
2.643e-05,0.004179,0.8846
5.539e-05,0.004413,0.7392
4.034e-05,0.004619,0.8049
9.248e-05,0.004446,0.6476
5.202e-05,0.004291,0.7576
3.565e-05,0.004411,0.8138
3.5e-05,0.004662,0.8318
3.579e-05,0.003966,0.8108
2.544e-05,0.004242,0.888
1.627e-05,0.003973,0.9497
4.139e-05,0.004388,0.8047
4.272e-05,0.004357,0.7893
3.776e-05,0.004971,0.7863
3.199e-05,0.004039,0.8484
2.883e-05,0.00419,0.8472
2.418e-05,0.004781,0.8775
2.13e-05,0.004079,0.9188
1.157e-05,0.004344,1.003
4.461e-05,0.004407,0.7699
2.224e-05,0.004635,0.8926
1.901e-05,0.003915,0.9086
5.068e-05,0.005029,0.757
4.871e-05,0.004723,0.7708
4.914e-05,0.004867,0.7628
2.036e-05,0.004273,0.8976
3.384e-05,0.004237,0.8505
0.0001047,0.005018,0.6275
1.802e-05,0.004398,0.9619
2.411e-05,0.004413,0.8924
4.188e-05,0.004442,0.804
0.0001146,0.004517,0.6336
5.256e-05,0.004297,0.742
2.627e-05,0.004441,0.8862
4.978e-05,0.004245,0.7729
2.282e-05,0.004029,0.8817
3.107e-05,0.00451,0.8309
3.284e-05,0.004568,0.8451
1.936e-05,0.00422,0.912
1.162e-05,0.004082,1
3.083e-05,0.00394,0.8413
0.0001145,0.004998,0.6161
1.811e-05,0.004331,0.9349
5.025e-05,0.004643,0.7388
8.408e-05,0.004388,0.6733
1.573e-05,0.004024,0.9537
2.577e-05,0.004641,0.8665
3.211e-05,0.00448,0.8238
3.653e-05,0.004486,0.8264
3.184e-05,0.004462,0.8317
4.361e-05,0.004658,0.7738
1.079e-05,0.004046,1.008
2.215e-05,0.004111,0.8994
4.815e-05,0.004726,0.7677
4.403e-05,0.004353,0.7787
6.434e-05,0.003713,0.7102
4.093e-05,0.003945,0.7976
1.159e-05,0.004034,1.024
5.335e-05,0.004704,0.7461
3.626e-05,0.004957,0.8216
3.394e-05,0.004187,0.8082
9.361e-05,0.004101,0.6509
1.056e-05,0.004098,1.023
5.164e-05,0.004588,0.7383
2.194e-05,0.004059,0.8892
2.903e-05,0.00401,0.8553
6.495e-05,0.004366,0.7135
5.525e-05,0.004422,0.7326
2.054e-05,0.004511,0.9121
2.477e-05,0.004095,0.8896
2.605e-05,0.003929,0.8704
2.455e-05,0.004057,0.8946
1.497e-05,0.004643,0.9752
2.113e-05,0.004262,0.8885
0.0001043,0.004386,0.6106
2.623e-05,0.003909,0.8704
5.982e-05,0.004098,0.7376
2.059e-05,0.003665,0.9176
2.292e-05,0.004115,0.8966
3.262e-05,0.004282,0.8365
6.44e-05,0.004347,0.7085
1.521e-05,0.004415,0.9533
2.707e-05,0.004632,0.8674
6.929e-05,0.00423,0.7034
1.18e-05,0.003977,0.9974
1.872e-05,0.004172,0.9091
5.834e-05,0.004642,0.7395
1.786e-05,0.003802,0.9347
2.591e-05,0.004141,0.8776
1.038e-05,0.004075,1.017
1.018e-05,0.003846,1.02
3.876e-05,0.004751,0.8057
1.605e-05,0.004463,0.9624
7.454e-05,0.004354,0.6997
2.519e-05,0.003934,0.8801
2.609e-05,0.004243,0.8703
5.422e-05,0.00413,0.7564
1.234e-05,0.00416,1.009
1.993e-05,0.004081,0.9309
4.909e-05,0.004021,0.754
