Kon (pM^-n)*s^-1,Koff (s^-1),n
1.146e-05,0.0002384,0.9978
1.133e-05,0.0002566,1.002
1.166e-05,0.000234,0.9979
1.264e-05,0.0002603,0.9852
8.684e-06,0.0002339,1.048
1.118e-05,0.0002676,1.011
9.964e-06,0.0002589,1.014
1.177e-05,0.0002448,0.9998
1.004e-05,0.0002377,1.031
1.126e-05,0.000255,0.9982
1.006e-05,0.000244,1.021
9.853e-06,0.0002499,1.04
1.262e-05,0.0002723,0.9821
1.094e-05,0.000258,1.01
1.039e-05,0.0002488,1.015
8.485e-06,0.0002414,1.051
8.9e-06,0.0002423,1.041
8.774e-06,0.0002408,1.051
9.323e-06,0.0002402,1.054
8.77e-06,0.0002425,1.043
1.056e-05,0.0002371,1.011
1.119e-05,0.0002585,1.007
9.473e-06,0.0002427,1.033
1.116e-05,0.0002333,0.9991
1.173e-05,0.0002597,1.003
1.006e-05,0.0002486,1.031
1.089e-05,0.0002572,1.015
1.475e-05,0.0002455,0.9574
8.935e-06,0.0002374,1.043
9.755e-06,0.0002642,1.024
1.008e-05,0.000238,1.005
8.285e-06,0.0002502,1.049
1.222e-05,0.0002531,0.9862
1.129e-05,0.0002564,1.017
9.766e-06,0.0002357,1.026
1.053e-05,0.0002407,1.009
9.704e-06,0.0002527,1.04
6.775e-06,0.0002471,1.087
8.369e-06,0.0002308,1.051
1.17e-05,0.000269,0.9981
9.666e-06,0.00024,1.046
1.161e-05,0.0002499,0.9973
9.293e-06,0.0002419,1.034
9.181e-06,0.0002731,1.051
1.043e-05,0.0002327,1.019
1.072e-05,0.0002357,1.005
9.086e-06,0.000236,1.032
9.494e-06,0.0002509,1.036
9.369e-06,0.0002516,1.04
1.162e-05,0.0002488,0.9906
9.797e-06,0.0002448,1.027
9.829e-06,0.0002389,1.036
1.046e-05,0.0002386,1.02
7.844e-06,0.0002295,1.057
1.204e-05,0.0002381,0.9883
9.756e-06,0.0002406,1.024
8.42e-06,0.0002264,1.056
9.359e-06,0.0002364,1.036
1.237e-05,0.0002382,0.9877
9.212e-06,0.0002443,1.05
8.393e-06,0.0002571,1.047
7.882e-06,0.0002432,1.071
9.362e-06,0.0002403,1.036
1.171e-05,0.0002329,0.9938
8.18e-06,0.0002333,1.06
9.448e-06,0.0002642,1.039
1.141e-05,0.0002442,0.9958
7.751e-06,0.0002345,1.073
7.663e-06,0.0002608,1.063
1.1e-05,0.0002419,1.002
7.979e-06,0.0002745,1.059
1.143e-05,0.0002515,1.018
1.215e-05,0.0002546,0.9997
8.261e-06,0.0002506,1.055
9.929e-06,0.0002379,1.019
8.365e-06,0.0002437,1.056
1.023e-05,0.0002678,1.033
7.471e-06,0.0002418,1.082
1.149e-05,0.0002607,1.005
1.034e-05,0.0002559,1.014
9.395e-06,0.000256,1.033
7.889e-06,0.0002482,1.064
8.272e-06,0.0002437,1.066
8.229e-06,0.0002685,1.062
9.871e-06,0.0002243,1.031
9.742e-06,0.000257,1.032
1.151e-05,0.000246,1.011
8.398e-06,0.0002299,1.051
1.108e-05,0.0002356,1.014
1.101e-05,0.0002535,1.006
9.084e-06,0.0002567,1.044
1.374e-05,0.0002553,0.9758
1.148e-05,0.0002446,1.007
1.065e-05,0.0002452,1.025
9.726e-06,0.0002385,1.018
1.256e-05,0.0002397,0.9824
1.044e-05,0.0002551,1.017
8.477e-06,0.0002408,1.041
1.354e-05,0.0002754,0.9672
8.103e-06,0.0002424,1.056
1.109e-05,0.0002667,0.9938
