Kon (pM^-n)*s^-1,Koff (s^-1),n
9.226e-06,0.0002721,1.038
9.385e-06,0.0002608,1.023
8.779e-06,0.0002455,1.05
8.31e-06,0.0002487,1.06
7.138e-06,0.000243,1.085
1.087e-05,0.0002505,1.006
7.075e-06,0.0002399,1.09
8.395e-06,0.0002469,1.044
9.973e-06,0.0002264,1.024
1.112e-05,0.0002483,0.996
1.005e-05,0.000237,1.031
1.56e-05,0.0002679,0.9563
7.88e-06,0.0002312,1.065
9.068e-06,0.0002413,1.031
1.075e-05,0.0002328,1.008
1.184e-05,0.0002666,0.9955
9.493e-06,0.0002504,1.036
1.073e-05,0.0002451,1.012
1.071e-05,0.000254,1.014
1.155e-05,0.0002392,1.009
8.984e-06,0.0002592,1.05
1.301e-05,0.0002445,0.9837
7.693e-06,0.000237,1.071
8.685e-06,0.0002541,1.052
9.297e-06,0.0002314,1.034
8.741e-06,0.0002435,1.061
8.734e-06,0.0002649,1.041
1.052e-05,0.0002489,1.008
1.049e-05,0.0002544,1.003
1.15e-05,0.0002556,1.002
1.234e-05,0.0002418,0.9961
1.144e-05,0.0002428,1.008
1.213e-05,0.0002463,0.9983
7.899e-06,0.0002288,1.063
1.099e-05,0.0002528,1.019
8.284e-06,0.0002332,1.056
1.276e-05,0.0002478,0.9798
1.031e-05,0.0002345,1.029
8.993e-06,0.0002461,1.053
1.071e-05,0.0002319,1.008
7.024e-06,0.0002321,1.08
1.133e-05,0.00027,1.004
1.178e-05,0.0002571,0.9967
8.356e-06,0.0002452,1.049
9.439e-06,0.0002516,1.036
1.061e-05,0.0002579,1.016
1.278e-05,0.0002588,0.9761
1.168e-05,0.0002405,0.9872
1.071e-05,0.0002321,0.9987
8.817e-06,0.0002418,1.048
9.135e-06,0.0002389,1.04
9.051e-06,0.0002529,1.041
1.142e-05,0.0002541,1.007
1.069e-05,0.0002484,1.005
1.195e-05,0.0002518,0.9924
1.115e-05,0.0002306,0.996
9.242e-06,0.0002488,1.04
1.302e-05,0.0002322,0.9743
9.348e-06,0.0002435,1.034
1.148e-05,0.0002452,0.9936
1.221e-05,0.0002448,0.9878
1.136e-05,0.0002342,1.006
1.279e-05,0.0002504,0.9848
1.091e-05,0.0002508,0.9992
1.069e-05,0.0002343,1.008
6.578e-06,0.0002394,1.095
8.78e-06,0.0002434,1.047
9.388e-06,0.0002466,1.03
1.109e-05,0.0002621,1.005
8.433e-06,0.0002359,1.046
1.053e-05,0.0002634,1.022
1.011e-05,0.0002493,1.024
1.209e-05,0.0002426,0.992
8.582e-06,0.0002654,1.043
7.895e-06,0.0002363,1.063
1.298e-05,0.0002504,0.9859
7.408e-06,0.0002422,1.064
1.01e-05,0.0002713,1.018
1.061e-05,0.0002587,1.024
1.126e-05,0.0002369,1
1.297e-05,0.000236,0.9789
1.014e-05,0.0002488,1.034
9.624e-06,0.0002566,1.041
1.084e-05,0.0002455,0.9992
8.297e-06,0.0002486,1.061
1.055e-05,0.0002491,1.012
1.339e-05,0.0002567,0.9738
1.048e-05,0.0002774,1.014
1.057e-05,0.0002466,1.017
9.757e-06,0.0002455,1.021
1.066e-05,0.0002481,1.014
8.798e-06,0.000252,1.053
7.557e-06,0.0002479,1.071
9.335e-06,0.0002555,1.041
1.17e-05,0.0002533,0.9994
1.07e-05,0.0002373,1.013
1.071e-05,0.0002494,1.018
1.12e-05,0.0002475,1.01
1.381e-05,0.0002584,0.9675
1.288e-05,0.0002396,0.9689
7.228e-06,0.000251,1.083
1.112e-05,0.0002451,1.019
1.288e-05,0.0002479,0.9817
7.978e-06,0.000263,1.057
1.346e-05,0.0002639,0.9741
8.256e-06,0.0002339,1.049
1.09e-05,0.00025,1.015
1.157e-05,0.0002496,0.9966
1.053e-05,0.0002582,1.007
8.902e-06,0.0002464,1.038
6.627e-06,0.0002468,1.101
7.654e-06,0.0002206,1.071
1.063e-05,0.0002329,1.015
9.274e-06,0.0002442,1.031
8.364e-06,0.0002373,1.053
8.475e-06,0.0002491,1.05
7.236e-06,0.0002347,1.085
9.771e-06,0.0002418,1.025
9.964e-06,0.0002471,1.036
8.889e-06,0.0002437,1.049
9.525e-06,0.0002441,1.021
7.487e-06,0.0002692,1.083
9.833e-06,0.0002703,1.027
9.689e-06,0.0002538,1.028
1.051e-05,0.0002487,1.018
1.08e-05,0.0002699,1.003
9.393e-06,0.0002427,1.022
8.512e-06,0.0002539,1.052
6.422e-06,0.0002528,1.097
8.158e-06,0.0002356,1.066
1.04e-05,0.0002623,1.026
8.99e-06,0.000262,1.05
1.182e-05,0.0002479,0.9931
8.847e-06,0.0002483,1.05
8.907e-06,0.0002382,1.043
9.529e-06,0.000234,1.032
1.119e-05,0.0002278,0.9972
1.136e-05,0.0002424,1.002
9.44e-06,0.00025,1.032
1.824e-05,0.0002757,0.9199
1.221e-05,0.0002399,0.9872
9.73e-06,0.0002387,1.023
8.723e-06,0.0002435,1.035
1.151e-05,0.0002393,1.002
1.051e-05,0.0002466,1.01
1.098e-05,0.0002474,1.01
1.176e-05,0.0002728,0.9927
6.747e-06,0.0002461,1.099
9.592e-06,0.0002401,1.032
1.065e-05,0.0002565,1.014
1.042e-05,0.000262,1.023
1.103e-05,0.0002325,1.001
1.252e-05,0.000255,0.9815
1.139e-05,0.0002467,1.011
9.134e-06,0.0002406,1.036
1.171e-05,0.0002604,0.9932
1.143e-05,0.000246,1.003
1.087e-05,0.0002614,1.018
1.181e-05,0.0002478,0.9952
1.17e-05,0.0002281,0.9865
7.967e-06,0.00024,1.066
1.253e-05,0.0002332,0.9831
7.803e-06,0.0002343,1.063
9.365e-06,0.0002266,1.038
1.094e-05,0.0002379,1.011
8.509e-06,0.000236,1.046
9.398e-06,0.0002476,1.031
8.594e-06,0.0002191,1.045
9.784e-06,0.0002305,1.035
1.019e-05,0.0002297,1.021
8.439e-06,0.0002326,1.052
7.852e-06,0.0002413,1.069
1.085e-05,0.0002359,1.012
1.288e-05,0.0002482,0.9787
1.239e-05,0.0002568,0.9874
1.019e-05,0.0002402,1.02
9.931e-06,0.0002603,1.022
1.152e-05,0.0002458,1.005
1.162e-05,0.0002387,0.9995
9.89e-06,0.0002447,1.04
9.479e-06,0.0002412,1.028
1.155e-05,0.0002596,1.006
8.063e-06,0.0002604,1.06
9.461e-06,0.0002363,1.033
1.101e-05,0.0002315,1.005
1.194e-05,0.0002487,0.9899
1.071e-05,0.0002359,1.011
9.704e-06,0.0002672,1.033
1.315e-05,0.0002397,0.9719
1.045e-05,0.0002435,1.021
1.091e-05,0.0002421,1.012
8.72e-06,0.0002517,1.045
8.504e-06,0.0002567,1.055
8.984e-06,0.0002574,1.051
6.79e-06,0.0002413,1.088
8.805e-06,0.0002382,1.05
1.07e-05,0.0002568,1.02
9.557e-06,0.0002399,1.035
1.37e-05,0.0002592,0.9748
1.244e-05,0.0002576,0.99
7.928e-06,0.0002442,1.067
1.127e-05,0.0002557,1.003
9.779e-06,0.0002301,1.027
9.43e-06,0.0002452,1.043
1.381e-05,0.0002509,0.983
7.631e-06,0.0002573,1.068
1.157e-05,0.0002397,0.9875
1.098e-05,0.0002549,1.004
9.986e-06,0.0002494,1.023
1.049e-05,0.0002432,1.016
1.005e-05,0.0002347,1.026
1.133e-05,0.0002412,1.005
7.936e-06,0.0002312,1.058
1.206e-05,0.0002573,1.001
9.596e-06,0.0002373,1.028
8.908e-06,0.0002381,1.047
1.12e-05,0.0002402,0.9998
9.272e-06,0.0002429,1.039
9.928e-06,0.0002286,1.028
9.49e-06,0.0002387,1.029
8.879e-06,0.0002528,1.048
1.024e-05,0.0002439,1.012
1.029e-05,0.0002347,1.024
8.84e-06,0.0002456,1.05
9.049e-06,0.0002323,1.035
7.286e-06,0.0002527,1.091
9.427e-06,0.0002382,1.036
1.021e-05,0.0002535,1.025
1.146e-05,0.0002368,0.9989
1.009e-05,0.0002531,1.015
1.189e-05,0.0002434,0.9948
1.273e-05,0.0002559,0.9813
9.974e-06,0.0002396,1.029
1.04e-05,0.0002304,1.016
1.129e-05,0.000249,1.004
1.166e-05,0.0002571,0.9932
9.159e-06,0.0002287,1.026
1.507e-05,0.0002601,0.9574
9.895e-06,0.0002763,1.037
7.83e-06,0.0002382,1.07
7.281e-06,0.0002281,1.078
1.171e-05,0.0002458,0.9959
1.184e-05,0.0002624,0.9924
9.615e-06,0.0002434,1.032
9.777e-06,0.0002469,1.034
8.615e-06,0.0002327,1.049
1.055e-05,0.0002516,1.004
9.917e-06,0.0002473,1.025
1.144e-05,0.0002596,1.007
1.129e-05,0.000264,1.004
1.096e-05,0.0002499,1.018
9.949e-06,0.0002322,1.017
1.095e-05,0.0002432,1.006
1.28e-05,0.0002329,0.9873
1.041e-05,0.000248,1.02
1.101e-05,0.0002593,1.012
8.916e-06,0.0002385,1.034
8.088e-06,0.0002624,1.065
1.005e-05,0.0002484,1.03
1.255e-05,0.0002439,0.9917
1.057e-05,0.0002345,1.016
7.192e-06,0.0002511,1.086
9.871e-06,0.0002355,1.033
9.075e-06,0.0002618,1.047
9.705e-06,0.0002331,1.025
7.563e-06,0.0002428,1.068
8.355e-06,0.0002495,1.066
8.176e-06,0.0002377,1.066
7.824e-06,0.000236,1.071
9.877e-06,0.000224,1.024
1.014e-05,0.0002322,1.015
7.895e-06,0.0002463,1.07
8.023e-06,0.0002273,1.061
1.165e-05,0.0002499,0.99
9.991e-06,0.0002451,1.021
8.404e-06,0.0002522,1.041
9.115e-06,0.0002504,1.041
1.099e-05,0.0002383,1.01
1.201e-05,0.000253,0.9853
9.603e-06,0.0002531,1.035
8.42e-06,0.0002468,1.059
1.184e-05,0.0002552,1.004
1.164e-05,0.0002447,1.005
8.39e-06,0.000255,1.05
1.099e-05,0.0002369,1.001
9.764e-06,0.0002306,1.029
9.979e-06,0.0002423,1.024
1.028e-05,0.0002597,1.017
8.375e-06,0.0002438,1.046
1.174e-05,0.0002471,0.9967
9.157e-06,0.0002471,1.027
1.372e-05,0.0002381,0.9641
8.218e-06,0.0002414,1.062
1.169e-05,0.0002566,0.996
1.146e-05,0.0002396,1.005
9.07e-06,0.0002399,1.036
1.322e-05,0.0002535,0.9727
8.776e-06,0.0002332,1.046
1.111e-05,0.0002561,0.9995
1.368e-05,0.0002485,0.9713
1.047e-05,0.0002373,1.02
1.057e-05,0.0002435,1.014
1.409e-05,0.0002599,0.964
8.872e-06,0.0002631,1.046
1.266e-05,0.0002765,0.9829
8.84e-06,0.0002474,1.048
1.238e-05,0.000268,0.993
9.322e-06,0.0002597,1.041
1.012e-05,0.0002419,1.021
1.241e-05,0.0002474,0.9856
7.274e-06,0.0002272,1.07
7.878e-06,0.0002438,1.068
1.192e-05,0.0002631,1.005
1.124e-05,0.000242,1.004
1.035e-05,0.0002411,1.013
6.944e-06,0.0002546,1.088
8.901e-06,0.000247,1.052
1.119e-05,0.0002454,1.004
9.605e-06,0.000243,1.028
1.143e-05,0.0002623,1.008
8.321e-06,0.0002368,1.057
9.398e-06,0.0002515,1.043
1.011e-05,0.0002378,1.029
1.252e-05,0.0002702,0.9856
1.092e-05,0.0002453,1.02
9.085e-06,0.0002362,1.037
1.248e-05,0.0002595,0.9874
1.004e-05,0.0002455,1.023
8.581e-06,0.0002365,1.036
9.109e-06,0.00024,1.033
9.409e-06,0.0002459,1.037
9.285e-06,0.0002523,1.038
9.395e-06,0.0002491,1.033
1.151e-05,0.0002747,0.9982
9.531e-06,0.0002272,1.038
7.058e-06,0.0002375,1.09
8.225e-06,0.0002425,1.055
1.188e-05,0.000237,0.9986
9.964e-06,0.0002597,1.03
1.106e-05,0.0002466,1.014
7.497e-06,0.000237,1.073
9.705e-06,0.0002449,1.031
1.102e-05,0.000227,1.009
1.013e-05,0.0002373,1.016
9.047e-06,0.0002553,1.042
8.815e-06,0.000232,1.042
1.09e-05,0.0002558,1.012
1.148e-05,0.0002494,0.9928
8.401e-06,0.0002484,1.06
1.352e-05,0.0002461,0.9604
9.036e-06,0.0002517,1.048
1.02e-05,0.0002427,1.017
1.022e-05,0.0002471,1.027
6.677e-06,0.0002345,1.09
9.617e-06,0.0002753,1.035
1.145e-05,0.0002322,0.9988
9.889e-06,0.0002513,1.021
1.113e-05,0.0002593,1.007
1.16e-05,0.0002448,1.004
9.431e-06,0.0002495,1.036
1.026e-05,0.000264,1.031
1.237e-05,0.0002287,0.9926
1.003e-05,0.000254,1.016
9.321e-06,0.0002539,1.031
1.102e-05,0.0002454,1.01
1.03e-05,0.0002361,1.026
9.988e-06,0.0002452,1.023
1.205e-05,0.0002292,0.9891
9.754e-06,0.000225,1.031
9.221e-06,0.0002561,1.039
1.348e-05,0.0002458,0.9767
1.166e-05,0.0002602,1.001
9.626e-06,0.0002402,1.026
1.101e-05,0.0002466,1.004
1.033e-05,0.0002712,1.01
9.743e-06,0.0002542,1.024
1.005e-05,0.0002668,1.023
1.435e-05,0.0002717,0.9754
9.549e-06,0.0002555,1.036
1.108e-05,0.0002482,1
1.319e-05,0.0002345,0.9743
1.094e-05,0.0002372,1.006
1.119e-05,0.0002309,1.002
1.033e-05,0.0002367,1.019
1.179e-05,0.0002523,0.9921
1.031e-05,0.0002706,1.026
9.183e-06,0.0002622,1.039
8.77e-06,0.0002426,1.04
9.796e-06,0.0002444,1.023
9.412e-06,0.0002363,1.033
9.573e-06,0.0002649,1.038
8.289e-06,0.0002303,1.062
9.002e-06,0.000233,1.042
1.158e-05,0.0002423,0.9945
1.033e-05,0.0002449,1.017
8.976e-06,0.0002579,1.042
8.923e-06,0.0002403,1.046
8.836e-06,0.0002585,1.038
9.214e-06,0.0002442,1.031
1.239e-05,0.0002486,0.9904
1.26e-05,0.0002347,0.9901
8.876e-06,0.0002509,1.043
9.703e-06,0.0002515,1.039
8.728e-06,0.0002617,1.046
8.36e-06,0.0002322,1.057
1.091e-05,0.0002548,1.015
1.141e-05,0.000253,0.9947
1.036e-05,0.0002504,1.016
1.281e-05,0.00026,0.973
9.745e-06,0.0002629,1.038
9.695e-06,0.000235,1.034
6.902e-06,0.0002341,1.084
1.095e-05,0.0002399,1.017
8.129e-06,0.0002433,1.068
9.355e-06,0.0002421,1.044
8.076e-06,0.0002302,1.066
9.948e-06,0.0002546,1.026
8.863e-06,0.000239,1.048
1.239e-05,0.0002343,0.9937
1.033e-05,0.0002396,1.009
9.125e-06,0.0002383,1.039
1.201e-05,0.0002429,0.9996
1.11e-05,0.0002475,1.008
9.351e-06,0.0002351,1.026
1.022e-05,0.0002446,1.015
1.111e-05,0.0002591,1.01
1.181e-05,0.0002565,1.004
1.296e-05,0.0002532,0.9765
9.554e-06,0.0002413,1.044
7.486e-06,0.0002374,1.068
9.914e-06,0.0002487,1.024
1.045e-05,0.0002426,1.021
1.297e-05,0.0002739,0.9791
1.495e-05,0.000272,0.9632
8.724e-06,0.0002403,1.05
1.051e-05,0.0002353,1.028
6.431e-06,0.000232,1.098
7.764e-06,0.0002354,1.074
1.307e-05,0.0002472,0.9788
1.065e-05,0.0002508,1.015
1.165e-05,0.0002429,0.9927
1.059e-05,0.0002378,1.014
9.819e-06,0.0002391,1.024
1.129e-05,0.0002347,1.009
1.08e-05,0.0002557,1.02
9.117e-06,0.0002567,1.048
1.025e-05,0.0002591,1.029
9.632e-06,0.0002559,1.026
1.158e-05,0.0002324,0.9936
9.466e-06,0.0002533,1.037
1.438e-05,0.0002709,0.9547
1.259e-05,0.000257,0.9881
8.336e-06,0.0002602,1.058
1.01e-05,0.0002699,1.033
1.061e-05,0.0002445,1.018
1.199e-05,0.0002413,0.9899
7.596e-06,0.0002333,1.072
8.491e-06,0.0002375,1.053
1.131e-05,0.0002664,1.003
8.755e-06,0.000257,1.038
8.451e-06,0.0002569,1.056
9.211e-06,0.0002454,1.035
9.365e-06,0.0002623,1.042
1.097e-05,0.000234,1.021
1.245e-05,0.0002437,0.9902
9.29e-06,0.0002547,1.047
8.41e-06,0.000269,1.048
1.231e-05,0.0002328,0.9815
8.927e-06,0.0002527,1.046
9.026e-06,0.0002384,1.042
8.189e-06,0.0002508,1.062
9.332e-06,0.0002349,1.036
1.044e-05,0.0002334,1.025
1.051e-05,0.0002648,1.019
1.156e-05,0.0002557,1.002
1.094e-05,0.0002418,0.9982
1.139e-05,0.0002665,1.003
1.185e-05,0.0002535,1
8.636e-06,0.0002688,1.058
1.28e-05,0.000253,0.9815
9.092e-06,0.0002611,1.038
7.446e-06,0.0002417,1.076
8.177e-06,0.0002368,1.061
8.61e-06,0.0002333,1.052
9.048e-06,0.0002312,1.029
9.768e-06,0.0002543,1.024
9.941e-06,0.0002682,1.032
1.166e-05,0.0002359,0.9981
6.851e-06,0.000243,1.087
8.497e-06,0.0002391,1.041
7.037e-06,0.0002234,1.091
8.483e-06,0.0002578,1.06
9.116e-06,0.0002417,1.035
1.211e-05,0.0002683,0.9884
1.204e-05,0.0002597,1.002
1.027e-05,0.0002494,1.019
1.063e-05,0.0002369,1.019
9.662e-06,0.0002355,1.03
9.867e-06,0.0002497,1.029
8.257e-06,0.0002318,1.053
9.172e-06,0.0002664,1.043
9.072e-06,0.0002416,1.034
1.136e-05,0.0002422,0.9915
1.033e-05,0.000256,1.033
7.48e-06,0.0002669,1.076
1.142e-05,0.0002351,1.009
9.244e-06,0.0002526,1.048
1.404e-05,0.0002416,0.9588
1.559e-05,0.0002451,0.9452
9.758e-06,0.0002429,1.036
8.593e-06,0.0002519,1.053
9.123e-06,0.0002215,1.037
1.094e-05,0.0002514,1.016
8.89e-06,0.0002538,1.043
9.015e-06,0.0002192,1.035
1.408e-05,0.0002458,0.965
9.817e-06,0.0002413,1.02
9.268e-06,0.0002441,1.038
8.98e-06,0.0002316,1.048
1.136e-05,0.0002423,1.008
1.207e-05,0.0002439,0.9995
8.065e-06,0.0002457,1.058
1.061e-05,0.0002486,1.01
1.057e-05,0.0002462,1.021
1.075e-05,0.0002309,1.028
1.063e-05,0.0002345,1.015
1.186e-05,0.0002366,0.9937
7.476e-06,0.0002596,1.084
1.044e-05,0.0002481,1.019
1.128e-05,0.0002558,1.014
7.568e-06,0.0002336,1.074
1.29e-05,0.0002529,0.9746
9.258e-06,0.0002367,1.032
1.156e-05,0.0002593,1.004
9.924e-06,0.0002446,1.014
7.955e-06,0.0002402,1.058
9.621e-06,0.0002303,1.031
1.128e-05,0.0002393,1.005
1.062e-05,0.0002447,1.006
9.693e-06,0.0002443,1.02
1.181e-05,0.0002477,0.9965
1.398e-05,0.0002643,0.9652
1.068e-05,0.0002609,1.012
1.288e-05,0.0002425,0.9819
7.332e-06,0.0002309,1.067
1.068e-05,0.0002296,1.013
1.221e-05,0.0002403,1
9.397e-06,0.0002426,1.034
1.271e-05,0.0002361,0.9808
9.099e-06,0.0002479,1.048
1.031e-05,0.0002486,1.014
1.143e-05,0.0002494,1.017
1.009e-05,0.0002291,1.023
1.05e-05,0.000277,1.019
9.486e-06,0.0002502,1.042
1.019e-05,0.0002535,1.026
1.184e-05,0.0002586,0.9922
1.043e-05,0.0002478,1.02
8.138e-06,0.0002419,1.059
1.192e-05,0.0002467,0.9914
1.132e-05,0.0002492,1.011
1.067e-05,0.0002445,1.015
8.576e-06,0.0002573,1.06
1.248e-05,0.0002357,0.9722
1.061e-05,0.0002354,1.013
9.515e-06,0.0002364,1.028
9.163e-06,0.0002356,1.044
7.632e-06,0.0002407,1.062
1.007e-05,0.0002247,1.018
9.473e-06,0.0002333,1.03
8.846e-06,0.0002344,1.043
8.09e-06,0.0002442,1.07
1.254e-05,0.0002477,0.9891
9.534e-06,0.0002709,1.034
1.052e-05,0.0002386,1.007
8.077e-06,0.0002225,1.057
9.627e-06,0.0002598,1.029
8.039e-06,0.0002281,1.069
1.24e-05,0.0002694,0.992
7.678e-06,0.0002295,1.067
8.084e-06,0.0002534,1.052
1.151e-05,0.0002595,1.013
1.046e-05,0.0002265,1.018
8.782e-06,0.0002507,1.045
9.119e-06,0.0002337,1.038
7.066e-06,0.0002619,1.086
9.206e-06,0.0002192,1.038
7.566e-06,0.0002581,1.08
7.628e-06,0.000245,1.071
1.302e-05,0.0002453,0.9782
1.058e-05,0.0002419,1.02
1.259e-05,0.000242,0.9849
9.62e-06,0.000268,1.036
8.038e-06,0.0002422,1.055
1.436e-05,0.0002522,0.9645
8.466e-06,0.000238,1.057
1.114e-05,0.000237,1.005
9.216e-06,0.0002445,1.038
1.027e-05,0.0002582,1.018
1.169e-05,0.0002576,0.994
1.006e-05,0.0002617,1.025
1.091e-05,0.0002594,1.009
9.993e-06,0.0002361,1.033
9.207e-06,0.0002743,1.055
1.121e-05,0.0002654,1.007
1.384e-05,0.0002564,0.9687
1.176e-05,0.0002545,0.9997
1.157e-05,0.0002337,0.9932
1.039e-05,0.0002581,1.015
8.694e-06,0.0002466,1.061
1.039e-05,0.0002722,1.025
1.174e-05,0.0002593,1.002
1.002e-05,0.0002533,1.019
1.177e-05,0.0002406,1.007
1.495e-05,0.0002641,0.9452
7.113e-06,0.0002395,1.088
9.431e-06,0.0002417,1.042
1.102e-05,0.0002595,0.9972
9.458e-06,0.0002362,1.042
1.28e-05,0.0002608,0.9836
8.581e-06,0.000238,1.042
1.322e-05,0.0002503,0.9616
1.001e-05,0.0002452,1.021
1.01e-05,0.0002458,1.027
9.336e-06,0.0002346,1.032
8.7e-06,0.0002419,1.054
9.121e-06,0.0002303,1.046
9.626e-06,0.0002399,1.038
1.255e-05,0.0002292,0.9864
1.257e-05,0.000238,0.9887
8.988e-06,0.0002562,1.049
1.17e-05,0.0002504,0.9984
1.043e-05,0.0002443,1.019
1.072e-05,0.0002303,1.019
7.16e-06,0.0002515,1.078
1.069e-05,0.0002593,1.012
9.205e-06,0.0002546,1.04
7.477e-06,0.0002468,1.071
1.012e-05,0.0002479,1.018
9.184e-06,0.0002322,1.042
9.931e-06,0.0002438,1.028
1.222e-05,0.0002664,0.987
1.048e-05,0.0002228,1.018
9.503e-06,0.0002499,1.025
7.474e-06,0.0002311,1.076
1.01e-05,0.00024,1.031
9.268e-06,0.0002437,1.034
9.066e-06,0.0002427,1.039
1.095e-05,0.0002443,1.007
1.03e-05,0.0002394,1.023
7.914e-06,0.0002151,1.075
1.237e-05,0.0002471,0.9964
1.049e-05,0.0002618,1.01
1.318e-05,0.0002545,0.9852
1.428e-05,0.0002393,0.9605
7.915e-06,0.0002257,1.045
1.163e-05,0.0002693,1.001
6.877e-06,0.0002528,1.099
8.149e-06,0.0002382,1.059
1.328e-05,0.0002709,0.9825
1.064e-05,0.0002532,1.008
1.141e-05,0.0002509,1.01
1.334e-05,0.0002826,0.982
9.713e-06,0.0002386,1.032
8.224e-06,0.000261,1.062
9.854e-06,0.0002522,1.021
7.775e-06,0.0002245,1.071
1.115e-05,0.0002522,0.9925
9.824e-06,0.0002579,1.023
8.596e-06,0.0002224,1.042
1.135e-05,0.0002352,0.9886
9.365e-06,0.0002454,1.033
8.857e-06,0.0002279,1.041
8.274e-06,0.0002504,1.062
1.251e-05,0.0002634,0.9897
9.776e-06,0.0002298,1.026
9.095e-06,0.0002396,1.041
1.169e-05,0.0002407,0.9939
7.391e-06,0.0002284,1.075
1.075e-05,0.000244,1.009
9.885e-06,0.0002515,1.019
1.107e-05,0.0002445,1.009
1.171e-05,0.0002794,0.9972
9.043e-06,0.0002441,1.036
9.177e-06,0.0002456,1.042
1.194e-05,0.0002229,0.9884
8.039e-06,0.0002581,1.068
1.268e-05,0.0002305,0.9759
1.157e-05,0.0002553,1.005
6.83e-06,0.0002293,1.088
1.002e-05,0.0002406,1.02
1.258e-05,0.0002454,0.9868
1.083e-05,0.0002302,1.006
1.141e-05,0.0002285,1.001
1.239e-05,0.0002383,0.99
9.317e-06,0.0002465,1.04
9.551e-06,0.0002446,1.024
8.011e-06,0.0002392,1.07
7.915e-06,0.0002451,1.067
8.132e-06,0.0002664,1.06
9.07e-06,0.0002404,1.035
7.15e-06,0.0002482,1.088
8.902e-06,0.0002451,1.055
8.777e-06,0.0002511,1.059
9.918e-06,0.0002574,1.015
1.001e-05,0.0002429,1.027
1.185e-05,0.0002512,1.001
1.181e-05,0.0002385,1
7.98e-06,0.0002464,1.06
8.334e-06,0.0002315,1.061
1.079e-05,0.0002525,1.005
9.818e-06,0.0002651,1.027
1.29e-05,0.0002476,0.9813
7.75e-06,0.0002705,1.082
1.167e-05,0.000244,0.9872
9.524e-06,0.0002544,1.037
8.01e-06,0.0002378,1.063
8.615e-06,0.0002343,1.052
5.928e-06,0.0002396,1.121
7.372e-06,0.0002415,1.067
8.137e-06,0.0002542,1.074
7.883e-06,0.0002576,1.067
9.364e-06,0.0002467,1.044
1.184e-05,0.0002597,0.9948
1.047e-05,0.0002571,1.018
1.248e-05,0.0002551,0.9847
1.026e-05,0.0002451,1.028
8.553e-06,0.0002441,1.049
1.06e-05,0.0002716,1.018
1.202e-05,0.0002341,0.9954
1.271e-05,0.0002697,0.9891
1.383e-05,0.0002649,0.9717
9.27e-06,0.0002465,1.044
1.282e-05,0.0002537,0.9816
7.932e-06,0.0002401,1.066
9.552e-06,0.000252,1.032
1.247e-05,0.0002506,0.9752
1.111e-05,0.0002523,0.9951
1.005e-05,0.0002364,1.021
8.316e-06,0.0002441,1.055
9.406e-06,0.0002605,1.043
9.506e-06,0.0002539,1.031
8.572e-06,0.0002318,1.053
1.367e-05,0.0002551,0.9722
1.098e-05,0.0002502,1.003
8.137e-06,0.0002361,1.054
1.066e-05,0.0002449,1.007
1.304e-05,0.0002548,0.9848
1.214e-05,0.000239,0.9848
8.571e-06,0.0002417,1.05
8.816e-06,0.0002597,1.045
7.885e-06,0.0002338,1.054
7.311e-06,0.0002266,1.08
1.145e-05,0.0002702,0.9934
1.049e-05,0.0002362,1.008
1.22e-05,0.0002594,0.9861
8.674e-06,0.0002464,1.052
8.901e-06,0.0002429,1.047
1.004e-05,0.000239,1.012
9.806e-06,0.0002538,1.026
1.257e-05,0.0002412,0.9886
8.304e-06,0.0002422,1.057
1.132e-05,0.0002531,1.003
9.914e-06,0.0002731,1.026
9.245e-06,0.0002122,1.037
1.138e-05,0.0002744,1.015
1.071e-05,0.0002505,1.01
1.002e-05,0.0002383,1.024
6.307e-06,0.0002586,1.115
1.091e-05,0.0002512,1.012
8.049e-06,0.0002333,1.065
8.132e-06,0.0002377,1.066
8.42e-06,0.0002508,1.05
1.342e-05,0.0002622,0.9688
8.031e-06,0.000242,1.066
8.704e-06,0.0002599,1.041
7.761e-06,0.0002646,1.071
8.379e-06,0.0002507,1.052
9.428e-06,0.000247,1.037
1.016e-05,0.0002341,1.016
8.128e-06,0.0002248,1.06
8.584e-06,0.0002582,1.049
1.025e-05,0.000225,1.025
1.004e-05,0.000249,1.028
9.669e-06,0.0002553,1.033
1.305e-05,0.0002527,0.986
1.149e-05,0.0002345,1.004
1.12e-05,0.0002726,1.005
9.034e-06,0.0002441,1.032
8.671e-06,0.0002307,1.043
8.56e-06,0.0002524,1.044
1.465e-05,0.0002522,0.959
1.177e-05,0.0002735,0.9966
1.128e-05,0.0002565,0.9955
1.322e-05,0.0002555,0.9763
1.036e-05,0.0002602,1.028
8.373e-06,0.0002488,1.057
8.648e-06,0.0002509,1.042
1.17e-05,0.000251,1.003
1.12e-05,0.000249,1.008
1.06e-05,0.000238,1.017
1.323e-05,0.0002494,0.9649
9.685e-06,0.0002529,1.027
1.142e-05,0.0002565,1.014
1.071e-05,0.0002459,1.017
9.191e-06,0.0002714,1.037
1.104e-05,0.0002371,1.01
1.04e-05,0.000244,1.006
1.063e-05,0.0002455,1.011
1.26e-05,0.0002392,0.9843
8.825e-06,0.0002393,1.041
1.027e-05,0.000256,1.018
8.447e-06,0.0002377,1.058
1.15e-05,0.0002645,1.006
1.023e-05,0.0002246,1.021
9.255e-06,0.0002279,1.036
9.902e-06,0.0002429,1.028
