ikoutC,ik12C,ik21C,ik13C,ik31C,iV2C
0.003314245,0.003506852,0.000933713,0.000820942,0.000186719,18.67772097
0.00253869,0.002494983,0.000933713,0.000584067,0.000186719,26.25268726
0.003943852,0.003919899,0.000933713,0.000917635,0.000186719,16.70961556
0.005190773,0.005637721,0.000933713,0.001319772,0.000186719,11.61817023
0.001707518,0.001530956,0.000933713,0.000358392,0.000186719,42.78372659
0.008088776,0.007290183,0.000933713,0.001706608,0.000186719,8.984684891
0.002748923,0.002605622,0.000933713,0.000609968,0.000186719,25.1379472
0.003080945,0.002650039,0.000933713,0.000620365,0.000186719,24.71661298
0.003999714,0.00385053,0.000933713,0.000901396,0.000186719,17.01064426
0.000235695,0.000277424,0.000933713,6.49E-05,0.000186719,236.1003911
0.013758912,0.014994027,0.000933713,0.003510052,0.000186719,4.368406219
0.001569992,0.001837465,0.000933713,0.000430145,0.000186719,35.64693173
0.006708103,0.007230742,0.000933713,0.001692693,0.000186719,9.058544649
0.007636549,0.00836512,0.000933713,0.001958247,0.000186719,7.83013298
0.001963568,0.002000339,0.000933713,0.000468273,0.000186719,32.74444724
0.000150042,0.000169673,0.000933713,3.97E-05,0.000186719,386.037246
0.000393065,0.000395373,0.000933713,9.26E-05,0.000186719,165.6661843
0.001412774,0.001553373,0.000933713,0.000363639,0.000186719,42.16631292
0.004638768,0.003911885,0.000933713,0.000915759,0.000186719,16.743846
0.000210577,0.000199239,0.000933713,4.66E-05,0.000186719,328.7505262
0.002660125,0.002464122,0.000933713,0.000576843,0.000186719,26.58147885
0.005188064,0.005090837,0.000933713,0.001191748,0.000186719,12.86625308
0.010007277,0.008518212,0.000933713,0.001994085,0.000186719,7.689407405
0.003303898,0.003625207,0.000933713,0.000848649,0.000186719,18.06793251
0.000279885,0.000301303,0.000933713,7.05E-05,0.000186719,217.3893439
0.000655289,0.000573263,0.000933713,0.000134199,0.000186719,114.2582701
0.000934797,0.00102739,0.000933713,0.000240509,0.000186719,63.75380358
0.011077189,0.011597301,0.000933713,0.00271489,0.000186719,5.647865798
0.002402616,0.002567044,0.000933713,0.000600936,0.000186719,25.51572995
0.000537235,0.000569441,0.000933713,0.000133304,0.000186719,115.0250117
0.002548846,0.002689575,0.000933713,0.000629621,0.000186719,24.35328813
0.004166682,0.004039623,0.000933713,0.000945662,0.000186719,16.21438259
0.00172067,0.001795541,0.000933713,0.00042033,0.000186719,36.47925263
0.003848499,0.004163163,0.000933713,0.000974583,0.000186719,15.73323138
0.003185391,0.002814036,0.000933713,0.000658756,0.000186719,23.27618048
0.000128832,0.000134988,0.000933713,3.16E-05,0.000186719,485.2282847
0.000991422,0.001034813,0.000933713,0.000242246,0.000186719,63.29643745
0.000462717,0.000478788,0.000933713,0.000112083,0.000186719,136.8038002
0.001902353,0.001800726,0.000933713,0.000421544,0.000186719,36.3742188
0.003048885,0.00314559,0.000933713,0.000736372,0.000186719,20.82280056
0.000894831,0.000919587,0.000933713,0.000215272,0.000186719,71.22766348
0.008897271,0.009811781,0.000933713,0.002296906,0.000186719,6.67564811
0.000353941,0.000375335,0.000933713,8.79E-05,0.000186719,174.5106993
0.002389772,0.002429717,0.000933713,0.000568789,0.000186719,26.95787509
0.049077332,0.053574568,0.000933713,0.012541629,0.000186719,1.222595025
0.005144017,0.004966815,0.000933713,0.001162715,0.000186719,13.18752465
0.002485542,0.003004135,0.000933713,0.000703258,0.000186719,21.80328213
0.000213543,0.000211331,0.000933713,4.95E-05,0.000186719,309.9410343
0.001713609,0.002075244,0.000933713,0.000485808,0.000186719,31.56256068
0.009259377,0.009794041,0.000933713,0.002292753,0.000186719,6.687740265
0.002407656,0.002610889,0.000933713,0.000611201,0.000186719,25.0872374
0.004680684,0.0051451,0.000933713,0.001204451,0.000186719,12.73055995
0.010506461,0.010819934,0.000933713,0.002532911,0.000186719,6.053641272
0.003152308,0.003978916,0.000933713,0.000931451,0.000186719,16.46176979
0.016424159,0.014776413,0.000933713,0.003459109,0.000186719,4.432740266
7.99E-05,9.81E-05,0.000933713,2.30E-05,0.000186719,667.6128481
0.001298947,0.001398637,0.000933713,0.000327416,0.000186719,46.83132161
0.00082449,0.000953534,0.000933713,0.000223219,0.000186719,68.69185528
0.006105653,0.00678443,0.000933713,0.001588213,0.000186719,9.654459301
0.000558328,0.000454626,0.000933713,0.000106426,0.000186719,144.0744236
0.001045882,0.001068357,0.000933713,0.000250099,0.000186719,61.30910895
0.004551715,0.005363294,0.000933713,0.001255529,0.000186719,12.21264419
0.001748827,0.002142197,0.000933713,0.000501481,0.000186719,30.5760897
0.003035534,0.002957188,0.000933713,0.000692268,0.000186719,22.14941867
0.000447725,0.000459151,0.000933713,0.000107486,0.000186719,142.654666
0.002150237,0.002278661,0.000933713,0.000533427,0.000186719,28.74495694
0.000506203,0.000573588,0.000933713,0.000134275,0.000186719,114.1934812
0.000705108,0.000849341,0.000933713,0.000198828,0.000186719,77.11859342
0.002298676,0.002646616,0.000933713,0.000619564,0.000186719,24.74858796
0.00219098,0.002009666,0.000933713,0.000470456,0.000186719,32.59248591
0.004500423,0.004930275,0.000933713,0.001154161,0.000186719,13.28526282
0.002767834,0.003296589,0.000933713,0.000771721,0.000186719,19.86902131
0.01065764,0.008887746,0.000933713,0.002080592,0.000186719,7.369697155
0.003111086,0.00303913,0.000933713,0.00071145,0.000186719,21.55221793
0.002708928,0.002845853,0.000933713,0.000666205,0.000186719,23.01594991
0.002655129,0.002419859,0.000933713,0.000566481,0.000186719,27.06768755
0.000129528,0.000120297,0.000933713,2.82E-05,0.000186719,544.4863974
0.001479168,0.00162009,0.000933713,0.000379258,0.000186719,40.42985438
0.012104994,0.009729074,0.000933713,0.002277544,0.000186719,6.732398202
0.000647488,0.000681437,0.000933713,0.000159522,0.000186719,96.12040824
0.002185289,0.002614207,0.000933713,0.000611977,0.000186719,25.05540237
0.000385638,0.000400969,0.000933713,9.39E-05,0.000186719,163.3542962
0.001791423,0.001792198,0.000933713,0.000419548,0.000186719,36.54730241
0.000405659,0.00032242,0.000933713,7.55E-05,0.000186719,203.1514374
0.001916082,0.001938393,0.000933713,0.000453771,0.000186719,33.79087176
0.003557616,0.00346321,0.000933713,0.000810726,0.000186719,18.91308968
0.000207147,0.000213802,0.000933713,5.01E-05,0.000186719,306.3585526
0.008101078,0.008599914,0.000933713,0.002013211,0.000186719,7.616355267
0.001157829,0.001189482,0.000933713,0.000278454,0.000186719,55.06597712
0.005955496,0.005591234,0.000933713,0.001308889,0.000186719,11.71476625
0.000624575,0.000509233,0.000933713,0.00011921,0.000186719,128.6247143
0.001277818,0.001168564,0.000933713,0.000273557,0.000186719,56.05170176
0.00340736,0.003055017,0.000933713,0.000715169,0.000186719,21.44014146
0.002464339,0.0028863,0.000933713,0.000675673,0.000186719,22.69341657
0.00077557,0.000712646,0.000933713,0.000166828,0.000186719,91.91093193
0.006172437,0.006166733,0.000933713,0.001443612,0.000186719,10.62150778
0.003733923,0.004487768,0.000933713,0.001050572,0.000186719,14.59522735
0.001253877,0.001212073,0.000933713,0.000283742,0.000186719,54.03963093
0.000797376,0.000830381,0.000933713,0.000194389,0.000186719,78.87945721
0.014503425,0.012643135,0.000933713,0.002959716,0.000186719,5.180677094
0.001381807,0.001537994,0.000933713,0.000360039,0.000186719,42.58793179
0.00639626,0.006862061,0.000933713,0.001606386,0.000186719,9.54523787
0.003411449,0.003864199,0.000933713,0.000904596,0.000186719,16.95047316
0.000427683,0.000446282,0.000933713,0.000104473,0.000186719,146.7682986
0.000642406,0.000629137,0.000933713,0.000147279,0.000186719,104.1108161
0.002123921,0.002355116,0.000933713,0.000551325,0.000186719,27.81179451
0.005705067,0.005331107,0.000933713,0.001247995,0.000186719,12.28637829
0.001155526,0.001349942,0.000933713,0.000316017,0.000186719,48.5206148
0.000288237,0.000330878,0.000933713,7.75E-05,0.000186719,197.9579576
0.000799844,0.000699043,0.000933713,0.000163644,0.000186719,93.69952846
0.001067487,0.001221103,0.000933713,0.000285856,0.000186719,53.6400193
0.001788153,0.001749309,0.000933713,0.000409507,0.000186719,37.44335421
0.00055304,0.00059013,0.000933713,0.000138147,0.000186719,110.9925093
0.000705902,0.000690762,0.000933713,0.000161705,0.000186719,94.82279603
0.000914663,0.000777991,0.000933713,0.000182125,0.000186719,84.19116687
0.004852427,0.004173871,0.000933713,0.000977089,0.000186719,15.69286549
0.034958415,0.037098458,0.000933713,0.008684626,0.000186719,1.765572059
0.002706492,0.003557846,0.000933713,0.00083288,0.000186719,18.41001424
0.000581734,0.000452856,0.000933713,0.000106012,0.000186719,144.6375117
0.0024668,0.002346712,0.000933713,0.000549358,0.000186719,27.91138859
0.003989681,0.003848098,0.000933713,0.000900827,0.000186719,17.02139803
0.017572787,0.018011068,0.000933713,0.004216331,0.000186719,3.636652812
0.003830882,0.003707592,0.000933713,0.000867935,0.000186719,17.66645412
0.004456225,0.004643533,0.000933713,0.001087036,0.000186719,14.10563971
0.003803641,0.003717461,0.000933713,0.000870245,0.000186719,17.61955159
0.001615793,0.00172778,0.000933713,0.000404468,0.000186719,37.90991204
0.00207167,0.002463593,0.000933713,0.000576719,0.000186719,26.5871802
0.000513436,0.000471576,0.000933713,0.000110394,0.000186719,138.8959672
